X,Y,Z,THETA,PHI,OVERLAP_AMNT,ASPECT_RATIO,LENGTH,DIAMETER,GENERATION_NUMBER
0.000000, 0.000000, 0.000000, 1.107149, 0.640522, 0.000000, 1.182000, 5.910000, 5.000000, 0
1.463088, 2.926177, 4.389265, 1.107149, 0.640522, 16.880965, 1.123000, 5.615000, 5.000000, 1
-3.044939, 3.359863, 3.565174, 0.834529, 0.904490, 6.368630, 1.359000, 6.795000, 5.000000, 2
2.944584, 5.889168, 8.833752, 1.107149, 0.640522, 8.733076, 1.211000, 6.055000, 5.000000, 2
2.443068, -1.012114, 5.029139, -0.392756, 0.484089, 10.512335, 1.307000, 6.535000, 5.000000, 3
6.217845, 3.890421, 7.198429, 0.200082, 1.045943, 8.733076, 1.302000, 6.510000, 5.000000, 3
-6.262059, 6.909715, 7.331947, 0.834529, 0.904490, 0.000000, 1.207000, 6.035000, 5.000000, 3
4.499710, 8.999421, 13.499131, 1.107149, 0.640522, 0.000000, 1.239000, 6.195000, 5.000000, 3
