X,Y,Z,THETA,PHI,OVERLAP_AMNT,ASPECT_RATIO,LENGTH,DIAMETER,GENERATION_NUMBER
0.000000, 0.000000, 0.000000, 1.107149, 0.640522, 0.000000, 1.323000, 6.615000, 5.000000, 0
1.617331, 3.234663, 4.851994, 1.107149, 0.640522, 15.621826, 1.225000, 6.125000, 5.000000, 1
1.645134, 5.223289, 0.761458, 1.265671, 1.432635, 11.100090, 1.205000, 6.025000, 5.000000, 2
3.173093, 6.346185, 9.519278, 1.107149, 0.640522, 4.512993, 1.226000, 6.130000, 5.000000, 2
4.941631, 1.912184, 2.291664, 0.369209, 1.162594, 11.960675, 1.295000, 6.475000, 5.000000, 3
3.526147, 1.707865, 9.780692, -0.674660, 0.460391, 4.512993, 1.234000, 6.170000, 5.000000, 3
6.492639, 7.592016, 2.113272, 0.454525, 1.325296, 0.000000, 1.257000, 6.285000, 5.000000, 3
4.646337, 9.292673, 13.939010, 1.107149, 0.640522, 0.000000, 1.095000, 5.475000, 5.000000, 3
