X,Y,Z,THETA,PHI,OVERLAP_AMNT,ASPECT_RATIO,LENGTH,DIAMETER,GENERATION_NUMBER
0.000000, 0.000000, 0.000000, 1.107149, 0.640522, 0.000000, 1.114000, 5.570000, 5.000000, 0
2.551934, -0.937036, 4.687657, -0.351903, 0.525534, 0.974411, 1.226000, 6.130000, 5.000000, 1
4.168257, 3.228212, 1.339605, 0.658982, 1.321972, 0.974411, 1.236000, 6.180000, 5.000000, 2
5.569547, -2.045063, 10.230720, -0.351903, 0.525534, 3.715412, 1.472000, 7.360000, 5.000000, 2
7.806235, 0.013323, 6.330126, 0.178938, 1.272378, 3.715412, 1.268000, 6.340000, 5.000000, 3
4.608089, 7.144919, 4.925166, 1.458968, 0.832629, 0.000000, 1.157000, 5.785000, 5.000000, 3
8.636372, -3.171159, 15.864181, -0.351903, 0.525534, 0.000000, 1.270000, 6.350000, 5.000000, 3
