cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.047198,1.600000,1,0,0,0,0
1,1.047198,1.600000,2,0.000000,0.000000,0.000000,1
2,1.047198,1.600000,3,0.000000,0.000000,0.000000,2
3,1.047198,1.600000,4,0.000000,0.000000,0.000000,2
4,1.047198,1.600000,5,5.317240,28.273045,5.317240,3
5,1.047198,1.600000,6,5.317240,28.273045,5.317240,3
6,1.047198,1.600000,7,5.317240,28.273045,5.317240,3
7,1.047198,1.600000,8,5.317240,28.273045,5.317240,3
8,1.047198,1.600000,9,10.634481,56.546091,5.317240,4
9,1.047198,1.600000,10,10.634481,56.546091,5.317240,4
10,1.047198,1.600000,11,10.634481,56.546091,5.317240,4
11,1.047198,1.600000,12,10.634481,56.546091,5.317240,4
12,1.047198,1.600000,13,10.634481,56.546091,5.317240,4
13,1.047198,1.600000,14,10.634481,56.546091,5.317240,4
14,1.047198,1.600000,15,10.634481,56.546091,5.317240,4
15,1.047198,1.600000,16,10.634481,56.546091,5.317240,5
16,1.047198,1.600000,17,10.634481,56.546091,5.317240,5
17,1.047198,1.600000,18,10.634481,56.546091,5.317240,5
18,1.047198,1.600000,19,16.299584,148.884924,10.982344,5
19,1.047198,1.600000,20,16.299584,148.884924,10.982344,5
20,1.047198,1.600000,21,16.299584,148.884924,10.982344,5
21,1.047198,1.600000,22,19.165317,157.097348,10.982344,5
22,1.047198,1.600000,23,19.165317,157.097348,10.982344,5
23,1.047198,1.600000,24,19.165317,157.097348,10.982344,5
24,1.047198,1.600000,25,19.165317,157.097348,10.982344,5
25,1.047198,1.600000,26,19.165317,157.097348,10.982344,5
26,1.047198,1.600000,27,19.165317,157.097348,10.982344,5
27,1.047198,1.600000,28,19.165317,157.097348,10.982344,5
28,1.047198,1.600000,29,35.378972,263.157731,10.982344,6
29,1.047198,1.600000,30,36.295478,263.997714,10.982344,6
30,1.047198,1.600000,31,37.289603,275.558005,10.982344,6
31,1.047198,1.600000,32,41.745701,288.812509,10.982344,6
32,1.047198,1.600000,33,41.745701,288.812509,10.982344,6
33,1.047198,1.600000,34,41.745701,288.812509,10.982344,6
34,1.047198,1.600000,35,41.745701,288.812509,10.982344,6
35,1.047198,1.600000,36,41.745701,288.812509,10.982344,6
36,1.047198,1.600000,37,41.745701,288.812509,10.982344,6
37,1.047198,1.600000,38,41.745701,288.812509,10.982344,6
38,1.047198,1.600000,39,41.745701,288.812509,10.982344,6
39,1.047198,1.600000,40,41.745701,288.812509,10.982344,6
40,1.047198,1.600000,41,41.745701,288.812509,10.982344,6
41,1.047198,1.600000,42,41.745701,288.812509,10.982344,6
42,1.047198,1.600000,43,41.745701,288.812509,13.312840,6
43,1.047198,1.600000,44,41.745701,288.812509,13.312840,6
44,1.047198,1.600000,45,41.745701,288.812509,13.312840,6
45,1.047198,1.600000,46,41.745701,288.812509,13.312840,6
46,1.047198,1.600000,47,48.622038,336.096527,13.312840,6
47,1.047198,1.600000,48,48.622038,336.096527,13.312840,6
48,1.047198,1.600000,49,48.622038,336.096527,13.312840,6
49,1.047198,1.600000,50,48.622038,336.096527,13.312840,6
50,1.047198,1.600000,51,48.622038,336.096527,13.312840,6
51,1.047198,1.600000,52,48.622038,336.096527,13.312840,6
52,1.047198,1.600000,53,113.147433,902.152608,13.312840,7
53,1.047198,1.600000,54,113.147433,902.152608,13.312840,7
54,1.047198,1.600000,55,115.886659,966.942970,13.312840,7
55,1.047198,1.600000,56,115.886659,966.942970,13.312840,7
56,1.047198,1.600000,57,115.886659,966.942970,13.312840,7
57,1.047198,1.600000,58,122.660028,1038.797970,13.312840,7
58,1.047198,1.600000,59,123.600429,1039.682324,13.312840,7
59,1.047198,1.600000,60,123.600429,1039.682324,13.312840,7
60,1.047198,1.600000,61,128.217293,1060.997752,13.312840,7
61,1.047198,1.600000,62,128.217293,1060.997752,13.312840,7
62,1.047198,1.600000,63,128.217293,1060.997752,13.312840,7
63,1.047198,1.600000,64,128.217293,1060.997752,13.312840,7
64,1.047198,1.600000,65,128.217293,1060.997752,13.312840,7
65,1.047198,1.600000,66,133.341211,1087.252296,13.312840,7
66,1.047198,1.600000,67,133.341211,1087.252296,13.312840,7
67,1.047198,1.600000,68,133.341211,1087.252296,13.312840,7
68,1.047198,1.600000,69,137.790504,1107.048505,13.312840,7
69,1.047198,1.600000,70,137.790504,1107.048505,13.312840,7
70,1.047198,1.600000,71,144.243051,1142.356319,13.312840,7
71,1.047198,1.600000,72,144.243051,1142.356319,13.312840,7
72,1.047198,1.600000,73,144.243051,1142.356319,13.312840,7
73,1.047198,1.600000,74,144.243051,1142.356319,13.312840,7
74,1.047198,1.600000,75,144.243051,1142.356319,13.312840,7
75,1.047198,1.600000,76,144.243051,1142.356319,13.312840,7
76,1.047198,1.600000,77,144.243051,1142.356319,13.312840,7
77,1.047198,1.600000,78,144.243051,1142.356319,13.312840,7
78,1.047198,1.600000,79,144.243051,1142.356319,13.312840,7
79,1.047198,1.600000,80,144.243051,1142.356319,13.312840,7
80,1.047198,1.600000,81,144.243051,1142.356319,13.312840,7
81,1.047198,1.600000,82,144.243051,1142.356319,13.312840,7
82,1.047198,1.600000,83,144.243051,1142.356319,13.312840,7
83,1.047198,1.600000,84,144.243051,1142.356319,13.312840,7
84,1.047198,1.600000,85,144.243051,1142.356319,13.312840,7
85,1.047198,1.600000,86,144.243051,1142.356319,13.312840,7
86,1.047198,1.600000,87,144.243051,1142.356319,13.312840,7
87,1.047198,1.600000,88,144.243051,1142.356319,13.312840,7
88,1.047198,1.600000,89,144.243051,1142.356319,13.312840,7
89,1.047198,1.600000,90,144.243051,1142.356319,13.312840,7
90,1.047198,1.600000,91,200.064874,1528.245326,13.312840,8
91,1.047198,1.600000,92,205.618659,1571.770727,13.312840,8
92,1.047198,1.600000,93,205.618659,1571.770727,13.312840,8
93,1.047198,1.600000,94,214.911978,1650.571306,13.312840,8
94,1.047198,1.600000,95,219.987311,1676.330315,13.312840,8
95,1.047198,1.600000,96,219.987311,1676.330315,13.312840,8
96,1.047198,1.600000,97,238.547910,1804.806916,18.560598,8
97,1.047198,1.600000,98,241.357115,1812.698550,18.560598,8
98,1.047198,1.600000,99,245.859169,1874.537776,18.560598,8
99,1.047198,1.600000,100,252.516776,1918.861514,18.560598,8
100,1.047198,1.600000,101,252.516776,1918.861514,18.560598,8
101,1.047198,1.600000,102,265.213037,2097.560829,18.560598,8
102,1.047198,1.600000,103,265.213037,2097.560829,18.560598,8
103,1.047198,1.600000,104,269.302449,2129.967380,18.560598,8
104,1.047198,1.600000,105,269.302449,2129.967380,18.560598,8
105,1.047198,1.600000,106,269.302449,2129.967380,18.560598,8
106,1.047198,1.600000,107,270.175562,2138.499177,18.560598,8
107,1.047198,1.600000,108,270.175562,2138.499177,18.560598,8
108,1.047198,1.600000,109,276.710768,2181.208099,18.560598,8
109,1.047198,1.600000,110,276.710768,2181.208099,18.560598,8
110,1.047198,1.600000,111,282.890755,2219.400332,18.560598,8
111,1.047198,1.600000,112,289.214858,2272.004702,18.560598,8
112,1.047198,1.600000,113,302.061200,2394.386550,18.560598,8
113,1.047198,1.600000,114,310.499610,2475.985335,18.560598,8
114,1.047198,1.600000,115,310.499610,2475.985335,18.560598,8
115,1.047198,1.600000,116,310.499610,2475.985335,18.560598,8
116,1.047198,1.600000,117,314.204784,2522.834280,18.560598,8
117,1.047198,1.600000,118,314.204784,2522.834280,18.560598,8
118,1.047198,1.600000,119,314.204784,2522.834280,18.560598,8
119,1.047198,1.600000,120,314.204784,2522.834280,18.560598,8
120,1.047198,1.600000,121,314.204784,2522.834280,18.560598,8
121,1.047198,1.600000,122,314.204784,2522.834280,18.560598,8
122,1.047198,1.600000,123,314.204784,2522.834280,18.560598,8
123,1.047198,1.600000,124,315.103893,2523.642677,18.560598,8
124,1.047198,1.600000,125,315.103893,2523.642677,18.560598,8
125,1.047198,1.600000,126,318.035411,2556.630669,18.560598,8
126,1.047198,1.600000,127,318.035411,2556.630669,18.560598,8
127,1.047198,1.600000,128,320.928892,2565.002899,18.560598,8
128,1.047198,1.600000,129,320.928892,2565.002899,18.560598,8
129,1.047198,1.600000,130,320.928892,2565.002899,18.560598,8
130,1.047198,1.600000,131,320.928892,2565.002899,18.560598,8
131,1.047198,1.600000,132,320.928892,2565.002899,18.560598,8
132,1.047198,1.600000,133,320.928892,2565.002899,18.560598,8
133,1.047198,1.600000,134,320.928892,2565.002899,18.560598,8
134,1.047198,1.600000,135,320.928892,2565.002899,18.560598,8
135,1.047198,1.600000,136,322.895674,2568.871131,18.560598,8
136,1.047198,1.600000,137,322.895674,2568.871131,18.560598,8
137,1.047198,1.600000,138,322.895674,2568.871131,18.560598,8
138,1.047198,1.600000,139,322.895674,2568.871131,18.560598,8
139,1.047198,1.600000,140,322.895674,2568.871131,18.560598,8
140,1.047198,1.600000,141,322.895674,2568.871131,18.560598,8
141,1.047198,1.600000,142,322.895674,2568.871131,18.560598,8
142,1.047198,1.600000,143,322.895674,2568.871131,18.560598,8
143,1.047198,1.600000,144,322.895674,2568.871131,18.560598,8
144,1.047198,1.600000,145,322.895674,2568.871131,18.560598,8
145,1.047198,1.600000,146,322.895674,2568.871131,18.560598,8
146,1.047198,1.600000,147,322.895674,2568.871131,18.560598,8
147,1.047198,1.600000,148,322.895674,2568.871131,18.560598,8
148,1.047198,1.600000,149,323.856052,2588.608583,19.057078,8
149,1.047198,1.600000,150,323.856052,2588.608583,19.057078,8
150,1.047198,1.600000,151,323.856052,2588.608583,19.057078,8
151,1.047198,1.600000,152,323.856052,2588.608583,19.057078,8
152,1.047198,1.600000,153,323.856052,2588.608583,19.057078,8
153,1.047198,1.600000,154,323.856052,2588.608583,19.057078,8
154,1.047198,1.600000,155,323.856052,2588.608583,19.057078,8
155,1.047198,1.600000,156,323.856052,2588.608583,19.057078,8
156,1.047198,1.600000,157,323.856052,2588.608583,19.057078,8
157,1.047198,1.600000,158,323.856052,2588.608583,19.057078,8
158,1.047198,1.600000,159,323.856052,2588.608583,19.057078,8
159,1.047198,1.600000,160,323.856052,2588.608583,19.057078,8
160,1.047198,1.600000,161,502.982283,4418.381260,19.057078,9
161,1.047198,1.600000,162,509.454978,4473.146376,19.057078,9
162,1.047198,1.600000,163,541.743768,5032.978300,19.057078,9
163,1.047198,1.600000,164,541.743768,5032.978300,19.057078,9
164,1.047198,1.600000,165,545.414449,5046.452197,19.057078,9
165,1.047198,1.600000,166,547.337456,5050.110122,19.057078,9
166,1.047198,1.600000,167,554.060251,5220.764017,19.057078,9
167,1.047198,1.600000,168,561.459775,5275.516976,19.057078,9
168,1.047198,1.600000,169,561.459775,5275.516976,19.057078,9
169,1.047198,1.600000,170,561.459775,5275.516976,19.057078,9
170,1.047198,1.600000,171,570.864119,5398.002228,19.057078,9
171,1.047198,1.600000,172,573.649671,5428.544062,19.057078,9
172,1.047198,1.600000,173,573.649671,5428.544062,19.057078,9
173,1.047198,1.600000,174,580.494271,5488.314510,19.057078,9
174,1.047198,1.600000,175,585.117875,5517.766087,19.057078,9
175,1.047198,1.600000,176,598.166936,5721.752047,19.057078,9
176,1.047198,1.600000,177,607.344283,5822.735862,19.057078,9
177,1.047198,1.600000,178,630.045499,6118.404023,22.701216,9
178,1.047198,1.600000,179,630.045499,6118.404023,22.701216,9
179,1.047198,1.600000,180,657.829144,6756.354136,28.074776,9
180,1.047198,1.600000,181,660.670634,6760.801079,28.074776,9
181,1.047198,1.600000,182,662.631353,6796.702018,28.074776,9
182,1.047198,1.600000,183,668.334236,6899.712367,28.074776,9
183,1.047198,1.600000,184,677.526106,6984.202849,28.074776,9
184,1.047198,1.600000,185,686.955202,7072.761119,28.074776,9
185,1.047198,1.600000,186,686.955202,7072.761119,28.074776,9
186,1.047198,1.600000,187,686.955202,7072.761119,28.074776,9
187,1.047198,1.600000,188,686.955202,7072.761119,28.074776,9
188,1.047198,1.600000,189,690.528686,7091.956814,28.074776,9
189,1.047198,1.600000,190,699.667575,7237.495773,28.074776,9
190,1.047198,1.600000,191,700.583699,7253.796311,28.074776,9
191,1.047198,1.600000,192,707.491466,7409.225855,28.074776,9
192,1.047198,1.600000,193,707.491466,7409.225855,28.074776,9
193,1.047198,1.600000,194,707.491466,7409.225855,28.074776,9
194,1.047198,1.600000,195,716.380041,7762.085617,33.071581,9
195,1.047198,1.600000,196,716.380041,7762.085617,33.071581,9
196,1.047198,1.600000,197,716.380041,7762.085617,33.071581,9
197,1.047198,1.600000,198,716.380041,7762.085617,33.071581,9
198,1.047198,1.600000,199,716.380041,7762.085617,33.071581,9
199,1.047198,1.600000,200,716.380041,7762.085617,33.071581,9
200,1.047198,1.600000,201,716.380041,7762.085617,33.071581,9
201,1.047198,1.600000,202,732.918775,8005.035882,33.071581,9
202,1.047198,1.600000,203,732.918775,8005.035882,33.071581,9
