cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.300000,1,0,0,0,0
1,1.570796,1.300000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.300000,3,0.000000,0.000000,0.000000,2
3,1.570796,1.300000,4,0.000000,0.000000,0.000000,2
4,1.570796,1.300000,5,10.922023,119.290586,10.922023,3
5,1.570796,1.300000,6,10.922023,119.290586,10.922023,3
6,1.570796,1.300000,7,10.922023,119.290586,10.922023,3
7,1.570796,1.300000,8,10.922023,119.290586,10.922023,3
8,1.570796,1.300000,9,33.398928,372.096481,11.554882,4
9,1.570796,1.300000,10,33.398928,372.096481,11.554882,4
10,1.570796,1.300000,11,33.398928,372.096481,11.554882,4
11,1.570796,1.300000,12,33.398928,372.096481,11.554882,4
12,1.570796,1.300000,13,33.398928,372.096481,11.554882,4
13,1.570796,1.300000,14,33.398928,372.096481,11.554882,4
14,1.570796,1.300000,15,56.830857,906.118738,22.799069,5
15,1.570796,1.300000,16,62.330192,1056.489159,22.799069,5
16,1.570796,1.300000,17,79.553389,1217.090312,22.799069,5
17,1.570796,1.300000,18,79.553389,1217.090312,22.799069,5
18,1.570796,1.300000,19,81.501481,1220.885374,22.799069,5
19,1.570796,1.300000,20,81.501481,1220.885374,22.799069,5
20,1.570796,1.300000,21,81.501481,1220.885374,22.799069,5
21,1.570796,1.300000,22,81.501481,1220.885374,22.799069,5
22,1.570796,1.300000,23,81.501481,1220.885374,22.799069,5
23,1.570796,1.300000,24,81.501481,1220.885374,22.799069,5
24,1.570796,1.300000,25,81.501481,1220.885374,22.799069,5
25,1.570796,1.300000,26,81.501481,1220.885374,22.799069,5
26,1.570796,1.300000,27,123.604379,1851.866434,22.799069,6
27,1.570796,1.300000,28,123.604379,1851.866434,22.799069,6
28,1.570796,1.300000,29,138.252314,1966.968852,22.799069,6
29,1.570796,1.300000,30,141.115387,1975.166038,22.799069,6
30,1.570796,1.300000,31,141.115387,1975.166038,22.799069,6
31,1.570796,1.300000,32,141.115387,1975.166038,22.799069,6
32,1.570796,1.300000,33,141.115387,1975.166038,22.799069,6
33,1.570796,1.300000,34,141.115387,1975.166038,22.799069,6
34,1.570796,1.300000,35,141.115387,1975.166038,22.799069,6
35,1.570796,1.300000,36,141.115387,1975.166038,22.799069,6
