cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.000000,1,0,0,0,0
1,1.570796,1.000000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.000000,3,0.000000,0.000000,0.000000,2
3,1.570796,1.000000,4,0.000000,0.000000,0.000000,2
4,1.570796,1.000000,5,18.014278,324.514206,18.014278,3
5,1.570796,1.000000,6,41.620513,881.768550,23.606235,3
6,1.570796,1.000000,7,41.620513,881.768550,23.606235,3
7,1.570796,1.000000,8,83.241026,1763.537100,23.606235,4
8,1.570796,1.000000,9,116.042794,3487.139994,35.798023,4
9,1.570796,1.000000,10,116.042794,3487.139994,35.798023,4
10,1.570796,1.000000,11,116.042794,3487.139994,35.798023,4
11,1.570796,1.000000,12,116.042794,3487.139994,35.798023,4
12,1.570796,1.000000,13,167.046042,5008.174859,36.999060,5
13,1.570796,1.000000,14,211.434932,7914.667419,44.415604,5
14,1.570796,1.000000,15,235.133012,9319.147635,44.415604,5
15,1.570796,1.000000,16,235.133012,9319.147635,52.736567,5
16,1.570796,1.000000,17,235.133012,9319.147635,52.736567,5
17,1.570796,1.000000,18,235.133012,9319.147635,52.736567,5
18,1.570796,1.000000,19,235.133012,9319.147635,52.736567,5
19,1.570796,1.000000,20,235.133012,9319.147635,52.736567,5
20,1.570796,1.000000,21,235.133012,9319.147635,52.736567,5
21,1.570796,1.000000,22,235.133012,9319.147635,52.736567,5
22,1.570796,1.000000,23,415.003367,17989.627818,70.346752,6
23,1.570796,1.000000,24,480.726440,20494.973400,70.346752,6
24,1.570796,1.000000,25,504.486599,21059.518531,70.346752,6
25,1.570796,1.000000,26,504.486599,21059.518531,70.346752,6
26,1.570796,1.000000,27,504.486599,21059.518531,70.346752,6
27,1.570796,1.000000,28,504.486599,21059.518531,70.346752,6
28,1.570796,1.000000,29,551.260624,25865.133549,70.346752,6
29,1.570796,1.000000,30,551.260624,25865.133549,70.346752,6
