cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.523599,1.800000,1,0,0,0,0
1,0.523599,1.800000,2,0.000000,0.000000,0.000000,1
2,0.523599,1.800000,3,0.000000,0.000000,0.000000,2
3,0.523599,1.800000,4,0.000000,0.000000,0.000000,3
4,0.523599,1.800000,5,3.420445,11.699442,3.420445,3
5,0.523599,1.800000,6,3.420445,11.699442,3.420445,3
6,0.523599,1.800000,7,6.840889,23.398883,3.420445,4
7,0.523599,1.800000,8,11.157265,42.029979,4.316375,4
8,0.523599,1.800000,9,11.157265,42.029979,4.316375,4
9,0.523599,1.800000,10,11.157265,42.029979,4.316375,4
10,0.523599,1.800000,11,11.157265,42.029979,4.316375,4
11,0.523599,1.800000,12,19.790015,116.554362,8.632751,5
12,0.523599,1.800000,13,24.106390,135.185457,8.632751,5
13,0.523599,1.800000,14,24.106390,135.185457,8.632751,5
14,0.523599,1.800000,15,28.422766,153.816553,8.632751,5
15,0.523599,1.800000,16,28.422766,153.816553,8.632751,5
16,0.523599,1.800000,17,28.422766,153.816553,8.632751,5
17,0.523599,1.800000,18,28.422766,153.816553,8.632751,5
18,0.523599,1.800000,19,28.422766,153.816553,8.632751,5
19,0.523599,1.800000,20,28.422766,153.816553,8.632751,5
20,0.523599,1.800000,21,50.321715,318.022579,10.499067,6
21,0.523599,1.800000,22,61.261682,454.276934,12.949126,6
22,0.523599,1.800000,23,69.894433,566.063509,12.949126,6
23,0.523599,1.800000,24,74.210808,584.694604,12.949126,6
24,0.523599,1.800000,25,75.193494,585.660276,12.949126,6
25,0.523599,1.800000,26,75.193494,585.660276,12.949126,6
26,0.523599,1.800000,27,79.509869,604.291371,12.949126,6
27,0.523599,1.800000,28,79.509869,604.291371,12.949126,6
28,0.523599,1.800000,29,79.509869,604.291371,12.949126,6
29,0.523599,1.800000,30,85.374423,689.311585,12.949126,6
30,0.523599,1.800000,31,85.374423,689.311585,12.949126,6
31,0.523599,1.800000,32,85.374423,689.311585,12.949126,6
32,0.523599,1.800000,33,85.374423,689.311585,12.949126,6
33,0.523599,1.800000,34,85.374423,689.311585,12.949126,6
34,0.523599,1.800000,35,85.374423,689.311585,12.949126,6
35,0.523599,1.800000,36,85.374423,689.311585,12.949126,6
36,0.523599,1.800000,37,134.382612,1180.649878,17.265501,7
37,0.523599,1.800000,38,141.914954,1311.910445,17.265501,7
38,0.523599,1.800000,39,151.463929,1480.454699,17.265501,7
39,0.523599,1.800000,40,155.780304,1536.347986,17.265501,7
40,0.523599,1.800000,41,162.701354,1584.248921,17.265501,7
41,0.523599,1.800000,42,167.017730,1602.880016,17.265501,7
42,0.523599,1.800000,43,171.334105,1621.511112,17.265501,7
43,0.523599,1.800000,44,187.403826,1920.802684,17.838390,7
44,0.523599,1.800000,45,192.713701,1960.650330,17.838390,7
45,0.523599,1.800000,46,197.030077,1979.281426,17.838390,7
46,0.523599,1.800000,47,201.346452,1997.912521,17.838390,7
47,0.523599,1.800000,48,205.662827,2016.543617,17.838390,7
48,0.523599,1.800000,49,209.979202,2035.174713,17.838390,7
49,0.523599,1.800000,50,214.295578,2053.805808,17.838390,7
50,0.523599,1.800000,51,220.647343,2184.064752,17.838390,7
51,0.523599,1.800000,52,220.647343,2184.064752,17.838390,7
52,0.523599,1.800000,53,222.580041,2214.552671,17.838390,7
53,0.523599,1.800000,54,222.580041,2214.552671,17.838390,7
54,0.523599,1.800000,55,222.580041,2214.552671,17.838390,7
55,0.523599,1.800000,56,222.580041,2214.552671,17.838390,7
56,0.523599,1.800000,57,222.580041,2214.552671,17.838390,7
57,0.523599,1.800000,58,222.580041,2214.552671,17.838390,7
58,0.523599,1.800000,59,222.580041,2214.552671,17.838390,7
59,0.523599,1.800000,60,222.580041,2214.552671,17.838390,7
60,0.523599,1.800000,61,222.580041,2214.552671,17.838390,7
