cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.523599,1.800000,1,0,0,0,0
1,0.523599,1.800000,2,0.000000,0.000000,0.000000,1
2,0.523599,1.800000,3,0.000000,0.000000,0.000000,2
3,0.523599,1.800000,4,0.000000,0.000000,0.000000,2
4,0.523599,1.800000,5,3.646320,13.295646,3.646320,3
5,0.523599,1.800000,6,7.962695,31.926742,4.316375,3
6,0.523599,1.800000,7,7.962695,31.926742,4.316375,3
7,0.523599,1.800000,8,7.962695,31.926742,4.316375,3
8,0.523599,1.800000,9,20.537648,85.117535,4.612258,4
9,0.523599,1.800000,10,24.854023,141.010822,8.632751,4
10,0.523599,1.800000,11,31.650362,187.201044,8.632751,4
11,0.523599,1.800000,12,35.966737,205.832139,8.632751,4
12,0.523599,1.800000,13,35.966737,205.832139,8.632751,4
13,0.523599,1.800000,14,35.966737,205.832139,8.632751,4
14,0.523599,1.800000,15,35.966737,205.832139,8.632751,4
15,0.523599,1.800000,16,35.966737,205.832139,8.632751,4
16,0.523599,1.800000,17,60.324460,403.712956,12.949126,5
17,0.523599,1.800000,18,61.301557,417.949041,12.949126,5
18,0.523599,1.800000,19,69.934308,492.473424,12.949126,5
19,0.523599,1.800000,20,75.243364,512.089935,12.949126,5
20,0.523599,1.800000,21,79.559739,539.290597,12.949126,5
21,0.523599,1.800000,22,83.876115,557.921693,12.949126,5
22,0.523599,1.800000,23,83.876115,557.921693,12.949126,5
23,0.523599,1.800000,24,87.654494,604.815645,12.949126,5
24,0.523599,1.800000,25,87.654494,604.815645,12.949126,5
25,0.523599,1.800000,26,87.654494,604.815645,12.949126,5
26,0.523599,1.800000,27,87.654494,604.815645,12.949126,5
27,0.523599,1.800000,28,87.654494,604.815645,12.949126,5
28,0.523599,1.800000,29,87.654494,604.815645,12.949126,5
29,0.523599,1.800000,30,87.654494,604.815645,12.949126,5
30,0.523599,1.800000,31,126.699022,1005.719199,17.265501,6
31,0.523599,1.800000,32,137.305783,1186.684609,17.265501,6
32,0.523599,1.800000,33,141.622158,1242.577896,17.265501,6
33,0.523599,1.800000,34,156.472465,1477.575787,18.714762,6
34,0.523599,1.800000,35,165.105216,1552.100169,18.714762,6
35,0.523599,1.800000,36,175.318767,1769.945297,18.714762,6
36,0.523599,1.800000,37,175.318767,1769.945297,18.714762,6
37,0.523599,1.800000,38,183.897605,1875.752174,18.714762,6
38,0.523599,1.800000,39,188.213981,1894.383269,18.714762,6
39,0.523599,1.800000,40,192.530356,1913.014365,18.714762,6
40,0.523599,1.800000,41,196.846731,1931.645461,18.714762,6
41,0.523599,1.800000,42,201.163106,1950.276556,18.714762,6
42,0.523599,1.800000,43,201.163106,1950.276556,18.714762,6
43,0.523599,1.800000,44,201.163106,1950.276556,18.714762,6
44,0.523599,1.800000,45,201.163106,1950.276556,18.714762,6
45,0.523599,1.800000,46,201.163106,1950.276556,21.580876,6
46,0.523599,1.800000,47,201.163106,1950.276556,21.580876,6
47,0.523599,1.800000,48,201.163106,1950.276556,21.580876,6
48,0.523599,1.800000,49,201.163106,1950.276556,21.580876,6
49,0.523599,1.800000,50,203.116838,1970.959696,21.580876,6
50,0.523599,1.800000,51,203.116838,1970.959696,21.580876,6
51,0.523599,1.800000,52,203.116838,1970.959696,21.580876,6
52,0.523599,1.800000,53,203.116838,1970.959696,21.580876,6
53,0.523599,1.800000,54,203.116838,1970.959696,21.580876,6
54,0.523599,1.800000,55,203.116838,1970.959696,21.580876,6
55,0.523599,1.800000,56,306.942529,3331.645988,21.581876,7
56,0.523599,1.800000,57,312.168702,3476.352973,21.581876,7
57,0.523599,1.800000,58,326.329599,3854.745282,22.565284,7
58,0.523599,1.800000,59,342.346043,4332.813342,22.565284,7
59,0.523599,1.800000,60,358.878735,4693.213802,22.565284,7
60,0.523599,1.800000,61,363.101222,4704.709112,22.565284,7
