cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.300000,1,0,0,0,0
1,1.570796,1.300000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.300000,3,0.000000,0.000000,0.000000,2
3,1.570796,1.300000,4,0.000000,0.000000,0.000000,2
4,1.570796,1.300000,5,0.000000,0.000000,0.000000,3
5,1.570796,1.300000,6,0.000000,0.000000,9.031252,3
6,1.570796,1.300000,7,0.000000,0.000000,9.031252,3
7,1.570796,1.300000,8,0.000000,0.000000,9.031252,3
8,1.570796,1.300000,9,29.730361,299.265925,11.667858,4
9,1.570796,1.300000,10,29.730361,299.265925,11.667858,4
10,1.570796,1.300000,11,29.730361,299.265925,11.667858,4
11,1.570796,1.300000,12,30.614966,316.026625,11.667858,4
12,1.570796,1.300000,13,30.614966,316.026625,11.667858,4
13,1.570796,1.300000,14,30.614966,316.026625,11.667858,4
14,1.570796,1.300000,15,30.614966,316.026625,11.667858,4
15,1.570796,1.300000,16,53.160545,549.918544,11.667858,5
16,1.570796,1.300000,17,53.160545,549.918544,11.667858,5
17,1.570796,1.300000,18,57.898242,682.921892,16.405556,5
18,1.570796,1.300000,19,57.898242,682.921892,16.405556,5
19,1.570796,1.300000,20,57.898242,682.921892,16.405556,5
20,1.570796,1.300000,21,57.898242,682.921892,16.405556,5
21,1.570796,1.300000,22,58.868159,683.862630,16.405556,5
22,1.570796,1.300000,23,58.868159,683.862630,16.405556,5
23,1.570796,1.300000,24,58.868159,683.862630,16.405556,5
24,1.570796,1.300000,25,58.868159,683.862630,16.405556,5
25,1.570796,1.300000,26,58.868159,683.862630,16.405556,5
26,1.570796,1.300000,27,58.868159,683.862630,16.405556,5
27,1.570796,1.300000,28,83.497315,901.809151,16.405556,6
28,1.570796,1.300000,29,83.497315,901.809151,16.405556,6
29,1.570796,1.300000,30,94.622072,1208.832830,20.111818,6
30,1.570796,1.300000,31,94.622072,1208.832830,20.111818,6
31,1.570796,1.300000,32,94.622072,1208.832830,20.111818,6
32,1.570796,1.300000,33,101.656542,1271.383762,20.111818,6
33,1.570796,1.300000,34,123.025652,1924.588633,23.769388,6
34,1.570796,1.300000,35,123.025652,1924.588633,23.769388,6
35,1.570796,1.300000,36,123.025652,1924.588633,23.769388,6
36,1.570796,1.300000,37,123.025652,1924.588633,23.769388,6
