cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.523599,1.000000,1,0,0,0,0
1,0.523599,1.000000,2,0.000000,0.000000,0.000000,1
2,0.523599,1.000000,3,23.368358,546.080140,23.368358,2
3,0.523599,1.000000,4,23.368358,546.080140,23.368358,2
4,0.523599,1.000000,5,46.736715,1092.160280,23.368358,3
5,0.523599,1.000000,6,46.736715,1092.160280,23.368358,3
6,0.523599,1.000000,7,60.458010,1280.434207,23.368358,4
7,0.523599,1.000000,8,60.458010,1280.434207,23.368358,4
8,0.523599,1.000000,9,60.458010,1280.434207,23.368358,4
9,0.523599,1.000000,10,104.370924,3346.410575,40.796371,5
10,0.523599,1.000000,11,144.966248,5304.726745,40.796371,5
11,0.523599,1.000000,12,144.966248,5304.726745,40.796371,5
12,0.523599,1.000000,13,144.966248,5304.726745,40.796371,5
13,0.523599,1.000000,14,144.966248,5304.726745,40.796371,5
14,0.523599,1.000000,15,288.799476,11610.576333,57.715983,6
15,0.523599,1.000000,16,326.153509,14744.645076,73.537165,6
16,0.523599,1.000000,17,326.153509,14744.645076,73.537165,6
17,0.523599,1.000000,18,326.153509,14744.645076,73.537165,6
18,0.523599,1.000000,19,326.153509,14744.645076,73.537165,6
19,0.523599,1.000000,20,326.153509,14744.645076,73.537165,6
20,0.523599,1.000000,21,488.837130,26763.290410,97.206890,7
21,0.523599,1.000000,22,511.044158,28915.486710,97.206890,7
22,0.523599,1.000000,23,511.044158,28915.486710,97.206890,7
23,0.523599,1.000000,24,529.909794,29774.244432,97.206890,7
24,0.523599,1.000000,25,529.909794,29774.244432,97.206890,7
25,0.523599,1.000000,26,529.909794,29774.244432,97.206890,7
26,0.523599,1.000000,27,529.909794,29774.244432,97.206890,7
27,0.523599,1.000000,28,649.565535,40151.160157,118.487883,8
28,0.523599,1.000000,29,791.826185,52038.182545,118.487883,8
29,0.523599,1.000000,30,809.153921,52338.432976,118.487883,8
30,0.523599,1.000000,31,809.153921,52338.432976,118.487883,8
31,0.523599,1.000000,32,809.153921,52338.432976,118.487883,8
32,0.523599,1.000000,33,809.153921,52338.432976,118.487883,8
33,0.523599,1.000000,34,809.153921,52338.432976,118.487883,8
34,0.523599,1.000000,35,809.153921,52338.432976,118.487883,8
35,0.523599,1.000000,36,809.153921,52338.432976,118.487883,8
36,0.523599,1.000000,37,809.153921,52338.432976,118.487883,8
37,0.523599,1.000000,38,1059.182199,76028.147383,138.825116,9
38,0.523599,1.000000,39,1102.249031,78452.237581,138.825116,9
39,0.523599,1.000000,40,1123.306616,78895.659472,138.825116,9
40,0.523599,1.000000,41,1143.073595,81696.258964,138.825116,9
41,0.523599,1.000000,42,1182.513646,83216.269207,138.825116,9
42,0.523599,1.000000,43,1205.577353,84719.535755,138.825116,9
43,0.523599,1.000000,44,1205.577353,84719.535755,138.825116,9
44,0.523599,1.000000,45,1205.577353,84719.535755,138.825116,9
45,0.523599,1.000000,46,1205.577353,84719.535755,138.825116,9
46,0.523599,1.000000,47,1205.577353,84719.535755,138.825116,9
47,0.523599,1.000000,48,1205.577353,84719.535755,138.825116,9
48,0.523599,1.000000,49,1205.577353,84719.535755,138.825116,9
49,0.523599,1.000000,50,1205.577353,84719.535755,138.825116,9
50,0.523599,1.000000,51,1565.419353,117890.732399,162.356234,10
51,0.523599,1.000000,52,1628.210646,121271.291403,162.356234,10
52,0.523599,1.000000,53,1628.210646,121271.291403,162.356234,10
53,0.523599,1.000000,54,1628.210646,121271.291403,162.356234,10
54,0.523599,1.000000,55,1628.210646,121271.291403,162.356234,10
55,0.523599,1.000000,56,1628.210646,121271.291403,162.356234,10
56,0.523599,1.000000,57,1628.210646,121271.291403,162.356234,10
57,0.523599,1.000000,58,1628.210646,121271.291403,162.356234,10
58,0.523599,1.000000,59,1628.210646,121271.291403,162.356234,10
59,0.523599,1.000000,60,1628.210646,121271.291403,162.356234,10
60,0.523599,1.000000,61,1628.210646,121271.291403,162.356234,10
61,0.523599,1.000000,62,1628.210646,121271.291403,162.356234,10
62,0.523599,1.000000,63,1628.210646,121271.291403,162.356234,10
63,0.523599,1.000000,64,1628.210646,121271.291403,162.356234,10
64,0.523599,1.000000,65,1919.630361,158317.241531,162.356234,11
65,0.523599,1.000000,66,2042.897569,164350.161810,162.356234,11
66,0.523599,1.000000,67,2077.311293,166760.537029,162.356234,11
67,0.523599,1.000000,68,2094.291480,167048.863755,162.356234,11
68,0.523599,1.000000,69,2108.270086,167244.265193,162.356234,11
69,0.523599,1.000000,70,2131.898581,167802.570963,162.356234,11
70,0.523599,1.000000,71,2150.673934,168945.812002,162.356234,11
71,0.523599,1.000000,72,2150.673934,168945.812002,162.356234,11
72,0.523599,1.000000,73,2150.673934,168945.812002,162.356234,11
73,0.523599,1.000000,74,2150.673934,168945.812002,162.356234,11
74,0.523599,1.000000,75,2150.673934,168945.812002,162.356234,11
75,0.523599,1.000000,76,2150.673934,168945.812002,162.356234,11
76,0.523599,1.000000,77,2150.673934,168945.812002,162.356234,11
77,0.523599,1.000000,78,2150.673934,168945.812002,162.356234,11
78,0.523599,1.000000,79,2150.673934,168945.812002,162.356234,11
79,0.523599,1.000000,80,2150.673934,168945.812002,162.356234,11
80,0.523599,1.000000,81,2150.673934,168945.812002,162.356234,11
81,0.523599,1.000000,82,2150.673934,168945.812002,162.356234,11
82,0.523599,1.000000,83,2150.673934,168945.812002,162.356234,11
83,0.523599,1.000000,84,2150.673934,168945.812002,162.356234,11
84,0.523599,1.000000,85,2498.587161,206534.487853,162.356234,12
85,0.523599,1.000000,86,2592.596524,218866.158407,162.356234,12
86,0.523599,1.000000,87,2698.598614,224824.192021,162.356234,12
87,0.523599,1.000000,88,2743.393277,227081.585848,162.356234,12
88,0.523599,1.000000,89,2761.227290,227399.637870,162.356234,12
89,0.523599,1.000000,90,2786.040142,229867.299685,162.356234,12
90,0.523599,1.000000,91,2786.040142,229867.299685,162.356234,12
91,0.523599,1.000000,92,2803.545783,230173.747170,162.356234,12
92,0.523599,1.000000,93,2803.545783,230173.747170,162.356234,12
93,0.523599,1.000000,94,2803.545783,230173.747170,162.356234,12
94,0.523599,1.000000,95,2803.545783,230173.747170,162.356234,12
95,0.523599,1.000000,96,2827.232452,230734.805435,162.356234,12
96,0.523599,1.000000,97,2827.232452,230734.805435,162.356234,12
97,0.523599,1.000000,98,2827.232452,230734.805435,162.356234,12
98,0.523599,1.000000,99,2827.232452,230734.805435,162.356234,12
99,0.523599,1.000000,100,2827.232452,230734.805435,162.356234,12
100,0.523599,1.000000,101,2827.232452,230734.805435,162.356234,12
101,0.523599,1.000000,102,2827.232452,230734.805435,162.356234,12
102,0.523599,1.000000,103,2827.232452,230734.805435,162.356234,12
103,0.523599,1.000000,104,2827.232452,230734.805435,162.356234,12
104,0.523599,1.000000,105,2827.232452,230734.805435,162.356234,12
105,0.523599,1.000000,106,2827.232452,230734.805435,162.356234,12
106,0.523599,1.000000,107,2827.232452,230734.805435,162.356234,12
107,0.523599,1.000000,108,2827.232452,230734.805435,162.356234,12
108,0.523599,1.000000,109,2827.232452,230734.805435,162.356234,12
109,0.523599,1.000000,110,3273.826127,277123.134392,162.356234,13
110,0.523599,1.000000,111,3356.999974,283643.914043,162.356234,13
111,0.523599,1.000000,112,3483.968853,294519.997330,162.356234,13
112,0.523599,1.000000,113,3504.389928,294937.017659,162.356234,13
113,0.523599,1.000000,114,3568.302830,299973.828158,162.356234,13
114,0.523599,1.000000,115,3645.125536,306127.057598,162.356234,13
115,0.523599,1.000000,116,3689.305157,307114.535915,162.356234,13
116,0.523599,1.000000,117,3689.305157,307114.535915,162.356234,13
117,0.523599,1.000000,118,3689.305157,307114.535915,162.356234,13
118,0.523599,1.000000,119,3689.305157,307114.535915,162.356234,13
119,0.523599,1.000000,120,3689.305157,307114.535915,162.356234,13
120,0.523599,1.000000,121,3689.305157,307114.535915,162.356234,13
121,0.523599,1.000000,122,3689.305157,307114.535915,162.356234,13
122,0.523599,1.000000,123,3713.621715,311816.078908,162.356234,13
123,0.523599,1.000000,124,3731.823146,312147.371018,162.356234,13
124,0.523599,1.000000,125,3731.823146,312147.371018,162.356234,13
125,0.523599,1.000000,126,3731.823146,312147.371018,162.356234,13
126,0.523599,1.000000,127,3731.823146,312147.371018,162.356234,13
127,0.523599,1.000000,128,3731.823146,312147.371018,162.356234,13
