cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.628319,1.600000,1,0,0,0,0
1,0.628319,1.600000,2,0.000000,0.000000,0.000000,1
2,0.628319,1.600000,3,0.000000,0.000000,0.000000,2
3,0.628319,1.600000,4,0.000000,0.000000,0.000000,2
4,0.628319,1.600000,5,4.456266,19.858309,4.456266,3
5,0.628319,1.600000,6,4.456266,19.858309,4.456266,3
6,0.628319,1.600000,7,4.456266,19.858309,4.456266,3
7,0.628319,1.600000,8,17.825065,119.149856,8.912533,4
8,0.628319,1.600000,9,22.281331,139.008165,8.912533,4
9,0.628319,1.600000,10,22.281331,139.008165,8.912533,4
10,0.628319,1.600000,11,22.281331,139.008165,8.912533,4
11,0.628319,1.600000,12,22.281331,139.008165,8.912533,4
12,0.628319,1.600000,13,35.650130,278.016331,13.368799,5
13,0.628319,1.600000,14,40.106397,337.591259,13.368799,5
14,0.628319,1.600000,15,44.562663,397.166187,13.368799,5
15,0.628319,1.600000,16,49.018929,417.024496,13.368799,5
16,0.628319,1.600000,17,53.475196,436.882805,13.368799,5
17,0.628319,1.600000,18,57.931462,456.741115,13.368799,5
18,0.628319,1.600000,19,57.931462,456.741115,13.368799,5
19,0.628319,1.600000,20,57.931462,456.741115,13.368799,5
20,0.628319,1.600000,21,57.931462,456.741115,13.368799,5
21,0.628319,1.600000,22,57.931462,456.741115,13.368799,5
22,0.628319,1.600000,23,57.931462,456.741115,13.368799,5
23,0.628319,1.600000,24,88.890186,587.805950,13.368799,6
24,0.628319,1.600000,25,102.986836,899.184362,17.825065,6
25,0.628319,1.600000,26,111.899369,1058.050837,17.825065,6
26,0.628319,1.600000,27,116.355635,1117.625765,17.825065,6
27,0.628319,1.600000,28,120.811902,1177.200693,17.825065,6
28,0.628319,1.600000,29,127.437587,1221.100404,17.825065,6
29,0.628319,1.600000,30,131.893854,1240.958713,17.825065,6
30,0.628319,1.600000,31,131.893854,1240.958713,17.825065,6
31,0.628319,1.600000,32,136.350120,1260.817023,17.825065,6
32,0.628319,1.600000,33,140.806386,1280.675332,17.825065,6
33,0.628319,1.600000,34,140.806386,1280.675332,17.825065,6
34,0.628319,1.600000,35,140.806386,1280.675332,17.825065,6
