cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.600000,1,0,0,0,0
1,1.570796,1.600000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.600000,3,0.000000,0.000000,0.000000,2
3,1.570796,1.600000,4,0.000000,0.000000,0.000000,2
4,1.570796,1.600000,5,3.523548,12.415389,3.523548,3
5,1.570796,1.600000,6,9.778074,95.610734,9.778074,3
6,1.570796,1.600000,7,9.778074,95.610734,9.778074,3
7,1.570796,1.600000,8,9.778074,95.610734,9.778074,3
8,1.570796,1.600000,9,21.532922,161.462827,9.778074,4
9,1.570796,1.600000,10,21.532922,161.462827,9.778074,4
10,1.570796,1.600000,11,21.532922,161.462827,9.778074,4
11,1.570796,1.600000,12,28.724119,227.391505,9.778074,4
12,1.570796,1.600000,13,28.724119,227.391505,9.778074,4
13,1.570796,1.600000,14,28.724119,227.391505,9.778074,4
14,1.570796,1.600000,15,35.915315,279.104812,9.778074,5
15,1.570796,1.600000,16,35.915315,279.104812,9.778074,5
16,1.570796,1.600000,17,35.915315,279.104812,9.778074,5
17,1.570796,1.600000,18,35.915315,279.104812,9.778074,5
18,1.570796,1.600000,19,35.915315,279.104812,9.778074,5
19,1.570796,1.600000,20,35.915315,279.104812,9.778074,5
20,1.570796,1.600000,21,35.915315,279.104812,9.778074,5
21,1.570796,1.600000,22,35.915315,279.104812,9.778074,5
22,1.570796,1.600000,23,35.915315,279.104812,9.778074,5
23,1.570796,1.600000,24,35.915315,279.104812,9.778074,5
24,1.570796,1.600000,25,35.915315,279.104812,9.778074,5
25,1.570796,1.600000,26,35.915315,279.104812,9.778074,5
26,1.570796,1.600000,27,35.915315,279.104812,9.778074,5
27,1.570796,1.600000,28,52.426112,349.430670,9.778074,6
28,1.570796,1.600000,29,53.385704,364.251973,9.778074,6
29,1.570796,1.600000,30,56.886175,402.434461,9.778074,6
30,1.570796,1.600000,31,56.886175,402.434461,9.778074,6
31,1.570796,1.600000,32,56.886175,402.434461,9.778074,6
32,1.570796,1.600000,33,67.695522,494.780544,9.778074,6
33,1.570796,1.600000,34,74.172308,575.758863,11.827036,6
34,1.570796,1.600000,35,74.172308,575.758863,11.827036,6
35,1.570796,1.600000,36,74.172308,575.758863,11.827036,6
36,1.570796,1.600000,37,74.172308,575.758863,11.827036,6
37,1.570796,1.600000,38,74.172308,575.758863,11.827036,6
38,1.570796,1.600000,39,74.172308,575.758863,11.827036,6
39,1.570796,1.600000,40,74.172308,575.758863,11.827036,6
40,1.570796,1.600000,41,74.172308,575.758863,11.827036,6
41,1.570796,1.600000,42,74.172308,575.758863,11.827036,6
42,1.570796,1.600000,43,74.172308,575.758863,11.827036,6
43,1.570796,1.600000,44,74.172308,575.758863,11.827036,6
44,1.570796,1.600000,45,74.172308,575.758863,11.827036,6
45,1.570796,1.600000,46,105.667079,795.487592,11.827036,7
46,1.570796,1.600000,47,105.667079,795.487592,11.827036,7
47,1.570796,1.600000,48,106.651701,803.750506,11.827036,7
48,1.570796,1.600000,49,110.852836,821.400038,11.827036,7
49,1.570796,1.600000,50,110.852836,821.400038,11.827036,7
50,1.570796,1.600000,51,116.628303,959.909426,14.878918,7
51,1.570796,1.600000,52,126.328137,1179.643701,16.176620,7
52,1.570796,1.600000,53,127.277399,1202.998714,16.176620,7
53,1.570796,1.600000,54,128.250304,1203.945258,16.176620,7
54,1.570796,1.600000,55,134.408253,1330.431630,16.176620,7
55,1.570796,1.600000,56,134.408253,1330.431630,16.176620,7
56,1.570796,1.600000,57,136.218327,1333.708001,16.176620,7
57,1.570796,1.600000,58,137.171077,1343.549270,16.176620,7
58,1.570796,1.600000,59,142.341420,1451.768982,16.176620,7
59,1.570796,1.600000,60,144.247272,1455.401254,16.176620,7
60,1.570796,1.600000,61,144.247272,1455.401254,16.176620,7
61,1.570796,1.600000,62,144.247272,1455.401254,16.176620,7
62,1.570796,1.600000,63,144.247272,1455.401254,16.176620,7
63,1.570796,1.600000,64,144.247272,1455.401254,16.176620,7
64,1.570796,1.600000,65,144.247272,1455.401254,16.176620,7
65,1.570796,1.600000,66,144.247272,1455.401254,16.176620,7
66,1.570796,1.600000,67,151.848373,1486.907547,16.176620,7
67,1.570796,1.600000,68,151.848373,1486.907547,16.176620,7
68,1.570796,1.600000,69,151.848373,1486.907547,16.176620,7
69,1.570796,1.600000,70,151.848373,1486.907547,16.176620,7
70,1.570796,1.600000,71,151.848373,1486.907547,16.176620,7
71,1.570796,1.600000,72,151.848373,1486.907547,16.176620,7
72,1.570796,1.600000,73,151.848373,1486.907547,16.176620,7
73,1.570796,1.600000,74,151.848373,1486.907547,16.176620,7
74,1.570796,1.600000,75,151.848373,1486.907547,16.176620,7
75,1.570796,1.600000,76,151.848373,1486.907547,16.176620,7
76,1.570796,1.600000,77,151.848373,1486.907547,16.176620,7
77,1.570796,1.600000,78,151.848373,1486.907547,16.176620,7
78,1.570796,1.600000,79,151.848373,1486.907547,16.176620,7
