cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.785398,1.500000,1,0,0,0,0
1,0.785398,1.500000,2,0.000000,0.000000,0.000000,1
2,0.785398,1.500000,3,0.000000,0.000000,0.000000,2
3,0.785398,1.500000,4,0.000000,0.000000,0.000000,2
4,0.785398,1.500000,5,1.861652,3.465749,1.861652,3
5,0.785398,1.500000,6,1.861652,3.465749,1.861652,3
6,0.785398,1.500000,7,1.861652,3.465749,1.861652,3
7,0.785398,1.500000,8,8.987481,41.574547,5.264176,4
8,0.785398,1.500000,9,10.849133,45.040296,5.264176,4
9,0.785398,1.500000,10,12.710785,48.506046,5.264176,4
10,0.785398,1.500000,11,12.710785,48.506046,5.264176,4
11,0.785398,1.500000,12,12.710785,48.506046,5.264176,4
12,0.785398,1.500000,13,12.710785,48.506046,5.264176,4
13,0.785398,1.500000,14,35.501493,203.435085,8.801401,5
14,0.785398,1.500000,15,46.613810,333.850186,11.112318,5
15,0.785398,1.500000,16,48.475463,337.315935,11.112318,5
16,0.785398,1.500000,17,50.337115,340.781685,11.112318,5
17,0.785398,1.500000,18,52.198767,344.247434,11.112318,5
18,0.785398,1.500000,19,52.198767,344.247434,17.280799,5
19,0.785398,1.500000,20,52.198767,344.247434,17.280799,5
20,0.785398,1.500000,21,52.198767,344.247434,17.280799,5
21,0.785398,1.500000,22,52.198767,344.247434,17.280799,5
22,0.785398,1.500000,23,52.198767,344.247434,17.280799,5
23,0.785398,1.500000,24,52.198767,344.247434,17.280799,5
24,0.785398,1.500000,25,95.865826,851.927392,17.280799,6
25,0.785398,1.500000,26,102.427443,894.640908,17.280799,6
26,0.785398,1.500000,27,104.289096,905.038157,17.280799,6
27,0.785398,1.500000,28,114.221156,988.731552,17.280799,6
28,0.785398,1.500000,29,116.082809,992.197301,17.280799,6
29,0.785398,1.500000,30,117.944461,995.663051,17.280799,6
30,0.785398,1.500000,31,119.806113,999.128800,17.280799,6
31,0.785398,1.500000,32,119.806113,999.128800,17.280799,6
32,0.785398,1.500000,33,119.806113,999.128800,17.280799,6
33,0.785398,1.500000,34,119.806113,999.128800,17.280799,6
34,0.785398,1.500000,35,119.806113,999.128800,17.280799,6
35,0.785398,1.500000,36,119.806113,999.128800,17.280799,6
36,0.785398,1.500000,37,119.806113,999.128800,17.280799,6
37,0.785398,1.500000,38,119.806113,999.128800,17.280799,6
38,0.785398,1.500000,39,119.806113,999.128800,17.280799,6
39,0.785398,1.500000,40,119.806113,999.128800,17.280799,6
40,0.785398,1.500000,41,119.806113,999.128800,17.280799,6
41,0.785398,1.500000,42,119.806113,999.128800,17.280799,6
42,0.785398,1.500000,43,166.214594,1485.903596,17.280799,7
43,0.785398,1.500000,44,168.076246,1517.095341,17.280799,7
44,0.785398,1.500000,45,176.583127,1730.507095,17.554744,7
45,0.785398,1.500000,46,182.883376,1804.190576,17.554744,7
46,0.785398,1.500000,47,184.745028,1821.519323,17.554744,7
47,0.785398,1.500000,48,189.422594,1879.689911,17.554744,7
48,0.785398,1.500000,49,189.422594,1879.689911,17.554744,7
49,0.785398,1.500000,50,190.405085,1880.655200,17.554744,7
50,0.785398,1.500000,51,192.266738,1891.052448,17.554744,7
51,0.785398,1.500000,52,201.299382,1946.967536,17.554744,7
52,0.785398,1.500000,53,204.143316,1972.830578,17.554744,7
53,0.785398,1.500000,54,206.984994,1989.347323,17.554744,7
54,0.785398,1.500000,55,208.846646,1992.813073,17.554744,7
55,0.785398,1.500000,56,210.708299,1996.278822,17.554744,7
56,0.785398,1.500000,57,212.569951,1999.744572,17.554744,7
57,0.785398,1.500000,58,222.679998,2210.427904,17.554744,7
58,0.785398,1.500000,59,224.541650,2213.893654,17.554744,7
59,0.785398,1.500000,60,226.403302,2217.359403,17.554744,7
60,0.785398,1.500000,61,228.264955,2220.825153,17.554744,7
61,0.785398,1.500000,62,228.264955,2220.825153,17.554744,7
62,0.785398,1.500000,63,228.264955,2220.825153,17.554744,7
63,0.785398,1.500000,64,236.847203,2385.612293,17.554744,7
64,0.785398,1.500000,65,238.823776,2407.927966,17.554744,7
65,0.785398,1.500000,66,240.793082,2420.886045,17.554744,7
66,0.785398,1.500000,67,240.793082,2420.886045,17.554744,7
67,0.785398,1.500000,68,240.793082,2420.886045,17.554744,7
68,0.785398,1.500000,69,240.793082,2420.886045,17.554744,7
69,0.785398,1.500000,70,240.793082,2420.886045,17.554744,7
70,0.785398,1.500000,71,240.793082,2420.886045,17.554744,7
71,0.785398,1.500000,72,240.793082,2420.886045,17.554744,7
72,0.785398,1.500000,73,240.793082,2420.886045,17.554744,7
73,0.785398,1.500000,74,240.793082,2420.886045,17.554744,7
74,0.785398,1.500000,75,240.793082,2420.886045,17.554744,7
75,0.785398,1.500000,76,240.793082,2420.886045,17.554744,7
76,0.785398,1.500000,77,240.793082,2420.886045,17.554744,7
77,0.785398,1.500000,78,240.793082,2420.886045,17.554744,7
78,0.785398,1.500000,79,240.793082,2420.886045,17.554744,7
79,0.785398,1.500000,80,356.805907,3738.202761,25.099414,8
