cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.628319,1.200000,1,0,0,0,0
1,0.628319,1.200000,2,0.000000,0.000000,0.000000,1
2,0.628319,1.200000,3,0.000000,0.000000,0.000000,2
3,0.628319,1.200000,4,0.000000,0.000000,0.000000,3
4,0.628319,1.200000,5,10.780681,116.223086,10.780681,3
5,0.628319,1.200000,6,10.780681,116.223086,10.780681,3
6,0.628319,1.200000,7,33.306911,370.404087,11.745549,4
7,0.628319,1.200000,8,55.617880,1100.629588,22.310969,4
8,0.628319,1.200000,9,66.398561,1216.852675,23.241108,4
9,0.628319,1.200000,10,66.398561,1216.852675,23.241108,4
10,0.628319,1.200000,11,66.398561,1216.852675,23.241108,4
11,0.628319,1.200000,12,66.398561,1216.852675,23.241108,4
12,0.628319,1.200000,13,133.722330,2457.361823,23.241108,5
13,0.628319,1.200000,14,148.144067,3214.205501,32.342044,5
14,0.628319,1.200000,15,162.665983,3664.497457,32.342044,5
15,0.628319,1.200000,16,173.446664,3780.720543,32.342044,5
16,0.628319,1.200000,17,184.227345,3896.943630,32.342044,5
17,0.628319,1.200000,18,191.548581,3950.544126,32.342044,5
18,0.628319,1.200000,19,194.442052,4093.411217,32.342044,5
19,0.628319,1.200000,20,206.703425,4622.679314,32.342044,5
20,0.628319,1.200000,21,206.703425,4622.679314,32.342044,5
21,0.628319,1.200000,22,206.703425,4622.679314,32.342044,5
22,0.628319,1.200000,23,206.703425,4622.679314,32.342044,5
23,0.628319,1.200000,24,206.703425,4622.679314,32.342044,5
24,0.628319,1.200000,25,362.428536,8877.871652,43.122725,6
25,0.628319,1.200000,26,388.280309,9778.631976,43.122725,6
26,0.628319,1.200000,27,399.060990,10281.289753,43.122725,6
27,0.628319,1.200000,28,434.563401,11898.169513,51.386978,6
28,0.628319,1.200000,29,445.344082,12014.392600,51.386978,6
29,0.628319,1.200000,30,445.344082,12014.392600,51.386978,6
30,0.628319,1.200000,31,456.124763,12130.615686,51.386978,6
31,0.628319,1.200000,32,456.124763,12130.615686,51.386978,6
32,0.628319,1.200000,33,456.124763,12130.615686,51.386978,6
33,0.628319,1.200000,34,463.510843,12438.981378,51.386978,6
34,0.628319,1.200000,35,463.510843,12438.981378,51.386978,6
35,0.628319,1.200000,36,463.510843,12438.981378,51.386978,6
36,0.628319,1.200000,37,463.510843,12438.981378,51.386978,6
37,0.628319,1.200000,38,463.510843,12438.981378,51.386978,6
38,0.628319,1.200000,39,475.836817,12879.662772,51.386978,6
39,0.628319,1.200000,40,475.836817,12879.662772,51.386978,6
40,0.628319,1.200000,41,475.836817,12879.662772,51.386978,6
41,0.628319,1.200000,42,475.836817,12879.662772,51.386978,6
42,0.628319,1.200000,43,475.836817,12879.662772,51.386978,6
43,0.628319,1.200000,44,657.655822,18086.528825,62.167659,7
44,0.628319,1.200000,45,677.503915,19218.679524,62.167659,7
45,0.628319,1.200000,46,731.727217,22780.880057,63.096793,7
46,0.628319,1.200000,47,753.474495,23758.382380,63.096793,7
47,0.628319,1.200000,48,764.255176,23936.992632,63.096793,7
48,0.628319,1.200000,49,800.883464,26061.769020,63.096793,7
49,0.628319,1.200000,50,822.865301,27564.767668,63.096793,7
50,0.628319,1.200000,51,845.971488,28092.356463,63.096793,7
51,0.628319,1.200000,52,868.609499,28795.195879,63.096793,7
52,0.628319,1.200000,53,902.248566,30419.432802,63.096793,7
53,0.628319,1.200000,54,937.521062,33425.178370,68.193114,7
54,0.628319,1.200000,55,948.301743,33762.848498,68.193114,7
55,0.628319,1.200000,56,959.082424,33879.071585,68.193114,7
56,0.628319,1.200000,57,969.863105,33995.294671,68.193114,7
57,0.628319,1.200000,58,993.302955,35024.728631,68.193114,7
58,0.628319,1.200000,59,1004.083636,35222.757072,68.193114,7
59,0.628319,1.200000,60,1029.953464,36792.242878,68.193114,7
60,0.628319,1.200000,61,1041.677004,36929.684256,68.193114,7
61,0.628319,1.200000,62,1051.276786,37181.019890,68.193114,7
62,0.628319,1.200000,63,1051.276786,37181.019890,68.193114,7
63,0.628319,1.200000,64,1051.276786,37181.019890,68.193114,7
64,0.628319,1.200000,65,1051.276786,37181.019890,68.193114,7
65,0.628319,1.200000,66,1051.276786,37181.019890,68.193114,7
66,0.628319,1.200000,67,1051.276786,37181.019890,68.193114,7
67,0.628319,1.200000,68,1051.276786,37181.019890,68.193114,7
68,0.628319,1.200000,69,1051.276786,37181.019890,68.193114,7
69,0.628319,1.200000,70,1052.275154,37255.654784,68.193114,7
70,0.628319,1.200000,71,1052.275154,37255.654784,68.193114,7
71,0.628319,1.200000,72,1052.275154,37255.654784,68.193114,7
72,0.628319,1.200000,73,1052.275154,37255.654784,68.193114,7
73,0.628319,1.200000,74,1052.275154,37255.654784,68.193114,7
74,0.628319,1.200000,75,1052.275154,37255.654784,68.193114,7
75,0.628319,1.200000,76,1052.275154,37255.654784,68.193114,7
76,0.628319,1.200000,77,1052.275154,37255.654784,68.193114,7
77,0.628319,1.200000,78,1052.275154,37255.654784,68.193114,7
78,0.628319,1.200000,79,1638.719007,59472.275832,75.785274,8
79,0.628319,1.200000,80,1760.873304,70061.600482,86.735941,8
80,0.628319,1.200000,81,1797.432216,72706.226956,86.735941,8
81,0.628319,1.200000,82,1809.182086,73358.465444,86.735941,8
82,0.628319,1.200000,83,1856.180943,75529.621907,86.735941,8
83,0.628319,1.200000,84,1880.175682,76404.430809,86.735941,8
84,0.628319,1.200000,85,1942.990232,80593.193362,86.735941,8
85,0.628319,1.200000,86,1977.033622,83931.385666,86.735941,8
86,0.628319,1.200000,87,1988.472684,84083.487230,86.735941,8
87,0.628319,1.200000,88,1999.253365,84432.156489,86.735941,8
