cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.628319,1.600000,1,0,0,0,0
1,0.628319,1.600000,2,0.000000,0.000000,0.000000,1
2,0.628319,1.600000,3,0.000000,0.000000,0.000000,2
3,0.628319,1.600000,4,0.000000,0.000000,0.000000,2
4,0.628319,1.600000,5,4.456266,19.858309,4.456266,3
5,0.628319,1.600000,6,4.456266,19.858309,4.456266,3
6,0.628319,1.600000,7,4.456266,19.858309,4.456266,3
7,0.628319,1.600000,8,17.825065,119.149856,8.912533,4
8,0.628319,1.600000,9,22.281331,139.008165,8.912533,4
9,0.628319,1.600000,10,22.281331,139.008165,8.912533,4
10,0.628319,1.600000,11,22.281331,139.008165,8.912533,4
11,0.628319,1.600000,12,22.281331,139.008165,8.912533,4
12,0.628319,1.600000,13,34.730888,191.235321,8.912533,5
13,0.628319,1.600000,14,48.099687,409.676724,13.368799,5
14,0.628319,1.600000,15,48.099687,409.676724,13.368799,5
15,0.628319,1.600000,16,52.555953,429.535033,13.368799,5
16,0.628319,1.600000,17,57.012219,449.393342,13.368799,5
17,0.628319,1.600000,18,57.012219,449.393342,13.368799,5
18,0.628319,1.600000,19,57.012219,449.393342,13.368799,5
19,0.628319,1.600000,20,57.012219,449.393342,13.368799,5
20,0.628319,1.600000,21,57.012219,449.393342,13.368799,5
21,0.628319,1.600000,22,57.012219,449.393342,13.368799,5
22,0.628319,1.600000,23,97.338112,827.985384,17.825065,6
23,0.628319,1.600000,24,114.632931,1209.557833,18.818721,6
24,0.628319,1.600000,25,122.836694,1316.576186,18.818721,6
25,0.628319,1.600000,26,137.200280,1524.998136,18.818721,6
26,0.628319,1.600000,27,143.738170,1675.012765,18.818721,6
27,0.628319,1.600000,28,143.738170,1675.012765,18.818721,6
28,0.628319,1.600000,29,150.867797,1725.844343,18.818721,6
29,0.628319,1.600000,30,155.324063,1745.702652,18.818721,6
30,0.628319,1.600000,31,161.627853,1841.623152,18.818721,6
31,0.628319,1.600000,32,161.627853,1841.623152,18.818721,6
32,0.628319,1.600000,33,161.627853,1841.623152,18.818721,6
33,0.628319,1.600000,34,161.627853,1841.623152,18.818721,6
34,0.628319,1.600000,35,161.627853,1841.623152,18.818721,6
