cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.785398,1.000000,1,0,0,0,0
1,0.785398,1.000000,2,0.000000,0.000000,0.000000,1
2,0.785398,1.000000,3,0.000000,0.000000,0.000000,2
3,0.785398,1.000000,4,21.166909,448.038055,21.166909,3
4,0.785398,1.000000,5,39.344372,778.458218,21.166909,3
5,0.785398,1.000000,6,39.344372,778.458218,21.166909,3
6,0.785398,1.000000,7,139.575184,5186.915343,46.067541,4
7,0.785398,1.000000,8,157.752647,5517.335505,46.067541,4
8,0.785398,1.000000,9,157.752647,5517.335505,46.067541,4
9,0.785398,1.000000,10,157.752647,5517.335505,46.067541,4
10,0.785398,1.000000,11,157.752647,5517.335505,46.067541,4
11,0.785398,1.000000,12,310.004333,13344.744768,58.612773,5
12,0.785398,1.000000,13,328.181796,13675.164931,58.612773,5
13,0.785398,1.000000,14,346.359259,14779.878855,58.612773,5
14,0.785398,1.000000,15,364.536722,15110.299018,62.207784,5
15,0.785398,1.000000,16,388.153117,18436.477947,82.229168,5
16,0.785398,1.000000,17,388.153117,18436.477947,82.229168,5
17,0.785398,1.000000,18,388.153117,18436.477947,82.229168,5
18,0.785398,1.000000,19,388.153117,18436.477947,82.229168,5
19,0.785398,1.000000,20,388.153117,18436.477947,82.229168,5
20,0.785398,1.000000,21,567.790104,26196.000632,82.229168,6
21,0.785398,1.000000,22,604.145030,30161.042582,82.229168,6
22,0.785398,1.000000,23,622.322493,31152.303069,82.229168,6
23,0.785398,1.000000,24,683.278816,38609.816477,96.697500,6
24,0.785398,1.000000,25,701.456279,39798.808939,96.697500,6
25,0.785398,1.000000,26,737.226963,41909.327609,96.697500,6
26,0.785398,1.000000,27,755.404426,42239.747772,96.697500,6
27,0.785398,1.000000,28,773.581889,42570.167934,96.697500,6
28,0.785398,1.000000,29,791.759352,42900.588096,96.697500,6
29,0.785398,1.000000,30,812.774515,45152.498873,96.697500,6
30,0.785398,1.000000,31,812.774515,45152.498873,96.697500,6
31,0.785398,1.000000,32,812.774515,45152.498873,96.697500,6
32,0.785398,1.000000,33,812.774515,45152.498873,96.697500,6
33,0.785398,1.000000,34,812.774515,45152.498873,96.697500,6
34,0.785398,1.000000,35,812.774515,45152.498873,96.697500,6
35,0.785398,1.000000,36,812.774515,45152.498873,96.697500,6
36,0.785398,1.000000,37,812.774515,45152.498873,96.697500,6
37,0.785398,1.000000,38,812.774515,45152.498873,96.697500,6
38,0.785398,1.000000,39,1210.527370,63644.002424,114.874963,7
39,0.785398,1.000000,40,1334.462903,79705.299072,123.935533,7
