cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.100000,1,0,0,0,0
1,1.570796,1.100000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.100000,3,7.432998,55.249466,7.432998,2
3,1.570796,1.100000,4,7.432998,55.249466,7.432998,2
4,1.570796,1.100000,5,32.386497,677.926551,24.953498,3
5,1.570796,1.100000,6,32.386497,677.926551,24.953498,3
6,1.570796,1.100000,7,32.386497,677.926551,24.953498,3
7,1.570796,1.100000,8,47.210045,1342.999909,34.296274,4
8,1.570796,1.100000,9,47.210045,1342.999909,34.296274,4
9,1.570796,1.100000,10,47.210045,1342.999909,34.296274,4
10,1.570796,1.100000,11,47.210045,1342.999909,34.296274,4
11,1.570796,1.100000,12,47.210045,1342.999909,34.296274,4
12,1.570796,1.100000,13,52.690818,1373.038781,34.296274,5
13,1.570796,1.100000,14,52.690818,1373.038781,34.296274,5
14,1.570796,1.100000,15,52.690818,1373.038781,34.296274,5
15,1.570796,1.100000,16,52.690818,1373.038781,34.296274,5
16,1.570796,1.100000,17,58.324459,1404.776684,34.296274,5
17,1.570796,1.100000,18,58.324459,1404.776684,34.296274,5
18,1.570796,1.100000,19,58.324459,1404.776684,34.296274,5
19,1.570796,1.100000,20,76.356394,1721.789553,34.296274,5
20,1.570796,1.100000,21,76.356394,1721.789553,34.296274,5
21,1.570796,1.100000,22,76.356394,1721.789553,34.296274,5
22,1.570796,1.100000,23,76.356394,1721.789553,34.296274,5
23,1.570796,1.100000,24,76.356394,1721.789553,34.296274,5
24,1.570796,1.100000,25,124.808301,3413.871885,49.596346,6
25,1.570796,1.100000,26,124.808301,3413.871885,49.596346,6
26,1.570796,1.100000,27,157.288123,4390.443222,49.596346,6
27,1.570796,1.100000,28,157.288123,4390.443222,49.596346,6
28,1.570796,1.100000,29,157.288123,4390.443222,49.596346,6
29,1.570796,1.100000,30,173.520929,4988.243809,49.596346,6
30,1.570796,1.100000,31,173.520929,4988.243809,49.596346,6
31,1.570796,1.100000,32,173.520929,4988.243809,49.596346,6
32,1.570796,1.100000,33,173.520929,4988.243809,49.596346,6
33,1.570796,1.100000,34,173.520929,4988.243809,49.596346,6
34,1.570796,1.100000,35,173.520929,4988.243809,49.596346,6
35,1.570796,1.100000,36,173.520929,4988.243809,49.596346,6
36,1.570796,1.100000,37,173.520929,4988.243809,49.596346,6
37,1.570796,1.100000,38,193.698643,5383.047559,49.596346,6
38,1.570796,1.100000,39,193.698643,5383.047559,49.596346,6
39,1.570796,1.100000,40,210.634005,5669.854053,49.596346,6
40,1.570796,1.100000,41,210.634005,5669.854053,49.596346,6
41,1.570796,1.100000,42,330.116792,10121.555596,49.596346,7
42,1.570796,1.100000,43,360.268288,10589.881732,49.596346,7
43,1.570796,1.100000,44,367.839498,10647.204949,49.596346,7
44,1.570796,1.100000,45,367.839498,10647.204949,49.596346,7
45,1.570796,1.100000,46,367.839498,10647.204949,49.596346,7
46,1.570796,1.100000,47,390.518544,11994.321769,49.596346,7
47,1.570796,1.100000,48,431.371594,13035.825283,49.596346,7
48,1.570796,1.100000,49,443.158992,13967.871402,52.951104,7
49,1.570796,1.100000,50,443.158992,13967.871402,52.951104,7
50,1.570796,1.100000,51,443.158992,13967.871402,52.951104,7
51,1.570796,1.100000,52,443.158992,13967.871402,52.951104,7
52,1.570796,1.100000,53,480.228994,14548.775305,52.951104,7
53,1.570796,1.100000,54,480.228994,14548.775305,52.951104,7
54,1.570796,1.100000,55,501.889245,14853.313211,52.951104,7
55,1.570796,1.100000,56,501.889245,14853.313211,52.951104,7
56,1.570796,1.100000,57,502.864817,14868.751078,52.951104,7
57,1.570796,1.100000,58,502.864817,14868.751078,52.951104,7
58,1.570796,1.100000,59,525.501851,17466.457254,68.809183,7
59,1.570796,1.100000,60,525.501851,17466.457254,68.809183,7
60,1.570796,1.100000,61,525.501851,17466.457254,68.809183,7
61,1.570796,1.100000,62,525.501851,17466.457254,68.809183,7
62,1.570796,1.100000,63,525.501851,17466.457254,68.809183,7
63,1.570796,1.100000,64,525.501851,17466.457254,68.809183,7
64,1.570796,1.100000,65,525.501851,17466.457254,68.809183,7
65,1.570796,1.100000,66,525.501851,17466.457254,68.809183,7
66,1.570796,1.100000,67,525.501851,17466.457254,68.809183,7
67,1.570796,1.100000,68,536.213742,17581.201849,68.809183,7
68,1.570796,1.100000,69,536.213742,17581.201849,68.809183,7
69,1.570796,1.100000,70,982.294464,35242.988091,68.809183,8
70,1.570796,1.100000,71,1008.636426,36264.998272,68.809183,8
