cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.047198,1.000000,1,0,0,0,0
1,1.047198,1.000000,2,0.000000,0.000000,0.000000,1
2,1.047198,1.000000,3,0.000000,0.000000,0.000000,2
3,1.047198,1.000000,4,0.000000,0.000000,0.000000,2
4,1.047198,1.000000,5,0.000000,0.000000,0.000000,3
5,1.047198,1.000000,6,23.750000,564.062500,23.750000,3
6,1.047198,1.000000,7,23.750000,564.062500,23.750000,3
7,1.047198,1.000000,8,23.750000,564.062500,23.750000,3
8,1.047198,1.000000,9,71.250000,2820.312500,47.500000,4
9,1.047198,1.000000,10,71.250000,2820.312500,47.500000,4
10,1.047198,1.000000,11,95.000000,3384.375000,47.500000,4
11,1.047198,1.000000,12,118.172651,3921.346765,47.500000,4
12,1.047198,1.000000,13,118.172651,3921.346765,47.500000,4
13,1.047198,1.000000,14,118.172651,3921.346765,47.500000,4
14,1.047198,1.000000,15,118.172651,3921.346765,47.500000,4
15,1.047198,1.000000,16,212.595302,8406.756030,71.250000,5
16,1.047198,1.000000,17,260.752271,11853.974656,71.250000,5
17,1.047198,1.000000,18,303.987838,14796.756503,71.250000,5
18,1.047198,1.000000,19,327.737838,15360.819003,71.250000,5
19,1.047198,1.000000,20,327.737838,15360.819003,71.250000,5
20,1.047198,1.000000,21,327.737838,15360.819003,71.250000,5
21,1.047198,1.000000,22,327.737838,15360.819003,71.250000,5
22,1.047198,1.000000,23,327.737838,15360.819003,71.250000,5
23,1.047198,1.000000,24,327.737838,15360.819003,71.250000,5
24,1.047198,1.000000,25,327.737838,15360.819003,71.250000,5
25,1.047198,1.000000,26,327.737838,15360.819003,71.250000,5
26,1.047198,1.000000,27,327.737838,15360.819003,71.250000,5
27,1.047198,1.000000,28,513.667747,26274.241390,95.000000,6
28,1.047198,1.000000,29,554.518795,31034.069031,95.000000,6
29,1.047198,1.000000,30,612.848067,35819.409087,95.000000,6
30,1.047198,1.000000,31,636.598067,36383.471587,95.000000,6
31,1.047198,1.000000,32,660.348067,36947.534087,95.000000,6
32,1.047198,1.000000,33,702.584122,38731.418459,95.000000,6
33,1.047198,1.000000,34,751.054924,42044.234708,95.000000,6
34,1.047198,1.000000,35,774.804924,42608.297208,95.000000,6
35,1.047198,1.000000,36,798.554924,43172.359708,95.000000,6
36,1.047198,1.000000,37,841.666984,45031.009440,95.000000,6
37,1.047198,1.000000,38,841.666984,45031.009440,95.000000,6
38,1.047198,1.000000,39,865.515601,48998.194000,95.098618,6
39,1.047198,1.000000,40,865.515601,48998.194000,95.098618,6
40,1.047198,1.000000,41,865.515601,48998.194000,95.098618,6
