cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.523599,1.300000,1,0,0,0,0
1,0.523599,1.300000,2,0.000000,0.000000,0.000000,1
2,0.523599,1.300000,3,2.830929,8.014160,2.830929,2
3,0.523599,1.300000,4,2.830929,8.014160,2.830929,2
4,0.523599,1.300000,5,16.994555,129.677455,10.349775,3
5,0.523599,1.300000,6,16.994555,129.677455,10.349775,3
6,0.523599,1.300000,7,16.994555,129.677455,10.349775,3
7,0.523599,1.300000,8,49.030634,673.766989,20.699549,4
8,0.523599,1.300000,9,60.347143,801.830377,20.699549,4
9,0.523599,1.300000,10,60.347143,801.830377,21.920668,4
10,0.523599,1.300000,11,60.347143,801.830377,21.920668,4
11,0.523599,1.300000,12,60.347143,801.830377,21.920668,4
12,0.523599,1.300000,13,113.982997,1721.037708,21.920668,5
13,0.523599,1.300000,14,135.005423,2612.086661,31.049324,5
14,0.523599,1.300000,15,156.662500,3297.689843,31.049324,5
15,0.523599,1.300000,16,175.952750,3859.041951,31.952099,5
16,0.523599,1.300000,17,186.302524,3966.159786,31.952099,5
17,0.523599,1.300000,18,186.302524,3966.159786,31.952099,5
18,0.523599,1.300000,19,186.302524,3966.159786,31.952099,5
19,0.523599,1.300000,20,186.302524,3966.159786,31.952099,5
20,0.523599,1.300000,21,186.302524,3966.159786,31.952099,5
21,0.523599,1.300000,22,186.302524,3966.159786,31.952099,5
22,0.523599,1.300000,23,307.240037,6776.506362,42.301874,6
23,0.523599,1.300000,24,335.901732,8232.806251,42.301874,6
24,0.523599,1.300000,25,346.251506,8554.159756,42.301874,6
25,0.523599,1.300000,26,357.596820,8910.839242,42.301874,6
26,0.523599,1.300000,27,367.946595,9077.766495,42.301874,6
27,0.523599,1.300000,28,387.579521,9809.454235,42.301874,6
28,0.523599,1.300000,29,397.929296,9916.572070,42.301874,6
29,0.523599,1.300000,30,408.279070,10023.689905,42.301874,6
30,0.523599,1.300000,31,408.279070,10023.689905,42.301874,6
31,0.523599,1.300000,32,408.279070,10023.689905,42.301874,6
32,0.523599,1.300000,33,408.279070,10023.689905,42.301874,6
33,0.523599,1.300000,34,416.220521,10257.508780,42.301874,6
34,0.523599,1.300000,35,416.220521,10257.508780,42.301874,6
35,0.523599,1.300000,36,416.220521,10257.508780,42.301874,6
36,0.523599,1.300000,37,416.220521,10257.508780,42.301874,6
37,0.523599,1.300000,38,416.220521,10257.508780,42.301874,6
38,0.523599,1.300000,39,416.220521,10257.508780,42.301874,6
39,0.523599,1.300000,40,416.220521,10257.508780,42.301874,6
40,0.523599,1.300000,41,577.870611,13481.300854,52.651648,7
41,0.523599,1.300000,42,598.727924,14599.602527,52.651648,7
42,0.523599,1.300000,43,629.242247,16650.463176,52.651648,7
43,0.523599,1.300000,44,653.628167,17637.602899,52.651648,7
44,0.523599,1.300000,45,699.440145,20195.004049,52.651648,7
45,0.523599,1.300000,46,746.853646,22378.363250,52.651648,7
46,0.523599,1.300000,47,790.546115,23739.626874,52.651648,7
47,0.523599,1.300000,48,790.546115,23739.626874,52.651648,7
48,0.523599,1.300000,49,800.895889,23997.257463,52.651648,7
49,0.523599,1.300000,50,832.656260,25570.160919,53.209321,7
50,0.523599,1.300000,51,836.380172,25643.174969,53.209321,7
51,0.523599,1.300000,52,858.004175,26187.227651,53.209321,7
52,0.523599,1.300000,53,871.241806,26535.967467,53.209321,7
53,0.523599,1.300000,54,889.008226,27124.447775,53.209321,7
54,0.523599,1.300000,55,899.358001,27231.565610,53.209321,7
55,0.523599,1.300000,56,909.707776,27338.683444,53.209321,7
56,0.523599,1.300000,57,909.707776,27338.683444,53.209321,7
57,0.523599,1.300000,58,909.707776,27338.683444,53.209321,7
58,0.523599,1.300000,59,917.940548,27875.884463,53.209321,7
59,0.523599,1.300000,60,941.592558,29019.800067,53.209321,7
60,0.523599,1.300000,61,941.592558,29019.800067,53.209321,7
61,0.523599,1.300000,62,941.592558,29019.800067,53.209321,7
62,0.523599,1.300000,63,941.592558,29019.800067,53.209321,7
63,0.523599,1.300000,64,941.592558,29019.800067,53.209321,7
64,0.523599,1.300000,65,941.592558,29019.800067,53.209321,7
65,0.523599,1.300000,66,941.592558,29019.800067,53.209321,7
66,0.523599,1.300000,67,941.592558,29019.800067,53.209321,7
67,0.523599,1.300000,68,941.592558,29019.800067,53.209321,7
68,0.523599,1.300000,69,941.592558,29019.800067,53.209321,7
69,0.523599,1.300000,70,941.592558,29019.800067,53.209321,7
70,0.523599,1.300000,71,942.537320,29064.817919,53.209321,7
71,0.523599,1.300000,72,942.537320,29064.817919,53.209321,7
72,0.523599,1.300000,73,942.537320,29064.817919,53.209321,7
73,0.523599,1.300000,74,1355.724873,42330.915200,63.001423,8
74,0.523599,1.300000,75,1394.650822,45250.480896,63.559096,8
75,0.523599,1.300000,76,1459.775745,50206.657011,64.554488,8
76,0.523599,1.300000,77,1500.986837,52983.062015,64.554488,8
77,0.523599,1.300000,78,1546.049321,56226.676747,64.554488,8
78,0.523599,1.300000,79,1560.224481,56433.119071,64.554488,8
79,0.523599,1.300000,80,1601.155957,59416.872957,72.515430,8
80,0.523599,1.300000,81,1638.421908,61277.211278,72.515430,8
81,0.523599,1.300000,82,1669.823566,62276.791133,72.515430,8
82,0.523599,1.300000,83,1678.817017,62357.673296,72.515430,8
83,0.523599,1.300000,84,1712.476471,64618.329080,72.515430,8
84,0.523599,1.300000,85,1717.959740,65048.961150,72.515430,8
85,0.523599,1.300000,86,1736.578390,65578.251474,72.515430,8
86,0.523599,1.300000,87,1746.928164,65685.369309,72.515430,8
87,0.523599,1.300000,88,1757.277939,65792.487144,72.515430,8
88,0.523599,1.300000,89,1760.158949,65800.787365,72.515430,8
89,0.523599,1.300000,90,1775.198477,66119.504450,72.515430,8
90,0.523599,1.300000,91,1785.548252,66226.622285,72.515430,8
91,0.523599,1.300000,92,1795.019479,66316.326420,72.515430,8
92,0.523599,1.300000,93,1805.369253,66423.444255,72.515430,8
93,0.523599,1.300000,94,1815.719028,66530.562089,72.515430,8
94,0.523599,1.300000,95,1826.606637,67224.536453,72.515430,8
95,0.523599,1.300000,96,1836.956412,67331.654288,72.515430,8
96,0.523599,1.300000,97,1847.306186,67438.772122,72.515430,8
97,0.523599,1.300000,98,1858.606383,67603.995018,72.515430,8
98,0.523599,1.300000,99,1866.229062,67949.304541,72.515430,8
99,0.523599,1.300000,100,1866.229062,67949.304541,72.515430,8
100,0.523599,1.300000,101,1873.704688,68400.565064,72.515430,8
101,0.523599,1.300000,102,1873.704688,68400.565064,72.515430,8
102,0.523599,1.300000,103,1886.851518,69635.444202,72.515430,8
103,0.523599,1.300000,104,1898.072669,70299.153106,72.515430,8
104,0.523599,1.300000,105,1898.072669,70299.153106,72.515430,8
105,0.523599,1.300000,106,1909.569321,71412.276555,73.413892,8
106,0.523599,1.300000,107,1909.569321,71412.276555,73.413892,8
107,0.523599,1.300000,108,1909.569321,71412.276555,73.413892,8
108,0.523599,1.300000,109,1917.369615,71657.316805,73.413892,8
109,0.523599,1.300000,110,1931.918732,72162.391502,73.413892,8
110,0.523599,1.300000,111,1931.918732,72162.391502,73.413892,8
111,0.523599,1.300000,112,1939.164221,72364.866946,73.413892,8
112,0.523599,1.300000,113,1956.083540,73205.880817,73.413892,8
113,0.523599,1.300000,114,1956.083540,73205.880817,73.413892,8
114,0.523599,1.300000,115,1956.083540,73205.880817,73.413892,8
115,0.523599,1.300000,116,1956.083540,73205.880817,73.413892,8
116,0.523599,1.300000,117,1956.083540,73205.880817,73.413892,8
117,0.523599,1.300000,118,1956.083540,73205.880817,73.413892,8
118,0.523599,1.300000,119,1956.083540,73205.880817,73.413892,8
119,0.523599,1.300000,120,1956.083540,73205.880817,73.413892,8
120,0.523599,1.300000,121,1956.083540,73205.880817,73.413892,8
121,0.523599,1.300000,122,1956.083540,73205.880817,73.413892,8
122,0.523599,1.300000,123,1956.083540,73205.880817,73.413892,8
123,0.523599,1.300000,124,1956.083540,73205.880817,73.413892,8
124,0.523599,1.300000,125,1956.083540,73205.880817,73.413892,8
125,0.523599,1.300000,126,1956.083540,73205.880817,73.413892,8
126,0.523599,1.300000,127,2454.312601,85950.942619,73.413892,9
127,0.523599,1.300000,128,2677.956283,106888.615077,83.763666,9
128,0.523599,1.300000,129,2737.226305,112262.589632,87.546146,9
129,0.523599,1.300000,130,2751.456397,112463.062556,87.546146,9
130,0.523599,1.300000,131,2814.369127,116687.799661,87.546146,9
131,0.523599,1.300000,132,2875.655891,121994.067652,87.546146,9
132,0.523599,1.300000,133,2923.168522,124380.247901,87.546146,9
133,0.523599,1.300000,134,2938.779322,124953.272262,87.546146,9
134,0.523599,1.300000,135,2959.815819,126022.700585,87.546146,9
135,0.523599,1.300000,136,2988.003715,127121.029721,87.546146,9
136,0.523599,1.300000,137,3003.038687,127570.361099,87.546146,9
137,0.523599,1.300000,138,3029.756100,128767.876379,87.546146,9
138,0.523599,1.300000,139,3057.895734,130467.727520,87.546146,9
139,0.523599,1.300000,140,3083.899629,131501.115442,87.546146,9
140,0.523599,1.300000,141,3107.233718,133927.131846,97.664649,9
141,0.523599,1.300000,142,3130.204548,135015.830028,97.664649,9
142,0.523599,1.300000,143,3157.041341,136230.798088,97.664649,9
143,0.523599,1.300000,144,3167.391115,136624.679697,97.664649,9
144,0.523599,1.300000,145,3189.237542,138328.090864,97.664649,9
145,0.523599,1.300000,146,3213.511243,138888.174759,97.664649,9
146,0.523599,1.300000,147,3221.006127,139075.246258,97.664649,9
147,0.523599,1.300000,148,3228.296442,139387.475646,97.664649,9
148,0.523599,1.300000,149,3240.639447,139581.084403,97.664649,9
149,0.523599,1.300000,150,3250.583339,140010.192925,97.664649,9
150,0.523599,1.300000,151,3269.545029,140253.174203,97.664649,9
151,0.523599,1.300000,152,3307.725090,141378.596064,97.664649,9
152,0.523599,1.300000,153,3360.427777,145948.178271,97.664649,9
153,0.523599,1.300000,154,3370.777552,146055.296106,97.664649,9
154,0.523599,1.300000,155,3381.127326,146162.413941,97.664649,9
155,0.523599,1.300000,156,3391.477101,146269.531775,97.664649,9
156,0.523599,1.300000,157,3402.782879,146416.427136,97.664649,9
157,0.523599,1.300000,158,3413.132654,146523.544971,97.664649,9
158,0.523599,1.300000,159,3423.482428,146630.662806,97.664649,9
159,0.523599,1.300000,160,3433.832203,146737.780640,97.664649,9
160,0.523599,1.300000,161,3444.181978,146844.898475,97.664649,9
161,0.523599,1.300000,162,3454.531752,146952.016310,97.664649,9
162,0.523599,1.300000,163,3464.881527,147059.134145,97.664649,9
163,0.523599,1.300000,164,3476.217602,147187.640731,97.664649,9
164,0.523599,1.300000,165,3487.516815,147318.985222,97.664649,9
165,0.523599,1.300000,166,3505.624579,148171.931714,97.664649,9
166,0.523599,1.300000,167,3524.631735,148788.349909,97.664649,9
167,0.523599,1.300000,168,3534.576605,149300.445717,97.664649,9
168,0.523599,1.300000,169,3544.493645,150100.053370,97.664649,9
169,0.523599,1.300000,170,3544.493645,150100.053370,97.664649,9
170,0.523599,1.300000,171,3546.458375,150144.582551,97.664649,9
171,0.523599,1.300000,172,3558.018691,150921.358038,97.664649,9
172,0.523599,1.300000,173,3558.018691,150921.358038,97.664649,9
173,0.523599,1.300000,174,3558.018691,150921.358038,97.664649,9
174,0.523599,1.300000,175,3558.018691,150921.358038,97.664649,9
175,0.523599,1.300000,176,3558.018691,150921.358038,97.664649,9
176,0.523599,1.300000,177,3564.482769,151153.149371,97.664649,9
177,0.523599,1.300000,178,3564.482769,151153.149371,97.664649,9
178,0.523599,1.300000,179,3569.924632,151326.176263,97.664649,9
179,0.523599,1.300000,180,3569.924632,151326.176263,97.664649,9
180,0.523599,1.300000,181,3569.924632,151326.176263,97.664649,9
181,0.523599,1.300000,182,3571.894977,151370.843799,97.664649,9
182,0.523599,1.300000,183,3571.894977,151370.843799,97.664649,9
183,0.523599,1.300000,184,3571.894977,151370.843799,97.664649,9
184,0.523599,1.300000,185,3577.573418,151704.595909,97.664649,9
185,0.523599,1.300000,186,3577.573418,151704.595909,97.664649,9
186,0.523599,1.300000,187,3585.684508,151786.336435,97.664649,9
187,0.523599,1.300000,188,3585.684508,151786.336435,97.664649,9
188,0.523599,1.300000,189,3585.684508,151786.336435,97.664649,9
189,0.523599,1.300000,190,3585.684508,151786.336435,97.664649,9
190,0.523599,1.300000,191,3585.684508,151786.336435,97.664649,9
191,0.523599,1.300000,192,3605.680737,152637.160097,97.664649,9
192,0.523599,1.300000,193,3608.542780,152704.594371,97.664649,9
193,0.523599,1.300000,194,3608.542780,152704.594371,97.664649,9
194,0.523599,1.300000,195,3608.542780,152704.594371,97.664649,9
195,0.523599,1.300000,196,3608.542780,152704.594371,97.664649,9
196,0.523599,1.300000,197,3608.542780,152704.594371,97.664649,9
197,0.523599,1.300000,198,3608.542780,152704.594371,97.664649,9
198,0.523599,1.300000,199,3608.542780,152704.594371,97.664649,9
