cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.047198,1.300000,1,0,0,0,0
1,1.047198,1.300000,2,0.000000,0.000000,0.000000,1
2,1.047198,1.300000,3,0.964870,0.930974,0.964870,2
3,1.047198,1.300000,4,0.964870,0.930974,0.964870,2
4,1.047198,1.300000,5,1.929740,1.861949,0.964870,3
5,1.047198,1.300000,6,1.929740,1.861949,0.964870,3
6,1.047198,1.300000,7,1.929740,1.861949,0.964870,3
7,1.047198,1.300000,8,1.929740,1.861949,0.964870,3
8,1.047198,1.300000,9,2.866774,4.548212,1.901904,4
9,1.047198,1.300000,10,2.866774,4.548212,1.901904,4
10,1.047198,1.300000,11,2.866774,4.548212,1.901904,4
11,1.047198,1.300000,12,2.866774,4.548212,1.901904,4
12,1.047198,1.300000,13,2.866774,4.548212,1.901904,4
13,1.047198,1.300000,14,2.866774,4.548212,1.901904,4
14,1.047198,1.300000,15,2.866774,4.548212,1.901904,4
15,1.047198,1.300000,16,3.849216,9.250423,2.884345,5
16,1.047198,1.300000,17,3.849216,9.250423,2.884345,5
17,1.047198,1.300000,18,3.849216,9.250423,2.884345,5
18,1.047198,1.300000,19,3.849216,9.250423,2.884345,5
19,1.047198,1.300000,20,3.849216,9.250423,2.884345,5
20,1.047198,1.300000,21,3.849216,9.250423,2.884345,5
21,1.047198,1.300000,22,3.849216,9.250423,2.884345,5
22,1.047198,1.300000,23,3.849216,9.250423,4.711806,5
23,1.047198,1.300000,24,3.849216,9.250423,4.711806,5
24,1.047198,1.300000,25,3.849216,9.250423,4.711806,5
25,1.047198,1.300000,26,3.849216,9.250423,4.711806,5
26,1.047198,1.300000,27,3.849216,9.250423,4.711806,5
27,1.047198,1.300000,28,3.849216,9.250423,4.711806,5
28,1.047198,1.300000,29,15.217623,55.543965,4.711806,6
29,1.047198,1.300000,30,15.217623,55.543965,4.711806,6
30,1.047198,1.300000,31,25.195719,155.106351,9.978095,6
31,1.047198,1.300000,32,40.498049,276.860222,15.302330,6
32,1.047198,1.300000,33,40.498049,276.860222,15.302330,6
33,1.047198,1.300000,34,49.730515,362.098663,15.302330,6
34,1.047198,1.300000,35,58.440494,520.041852,15.302330,6
35,1.047198,1.300000,36,58.440494,520.041852,15.302330,6
36,1.047198,1.300000,37,58.440494,520.041852,15.302330,6
37,1.047198,1.300000,38,58.440494,520.041852,15.302330,6
38,1.047198,1.300000,39,58.440494,520.041852,15.302330,6
39,1.047198,1.300000,40,58.440494,520.041852,15.302330,6
40,1.047198,1.300000,41,58.440494,520.041852,15.302330,6
