cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,1.570796,1.500000,1,0,0,0,0
1,1.570796,1.500000,2,0.000000,0.000000,0.000000,1
2,1.570796,1.500000,3,0.979310,0.959048,0.979310,2
3,1.570796,1.500000,4,0.979310,0.959048,0.979310,2
4,1.570796,1.500000,5,1.958620,1.918096,0.979310,3
5,1.570796,1.500000,6,1.958620,1.918096,0.979310,3
6,1.570796,1.500000,7,1.958620,1.918096,0.979310,3
7,1.570796,1.500000,8,1.958620,1.918096,0.979310,3
8,1.570796,1.500000,9,8.495378,44.647303,6.536758,4
9,1.570796,1.500000,10,8.495378,44.647303,6.536758,4
10,1.570796,1.500000,11,8.495378,44.647303,6.536758,4
11,1.570796,1.500000,12,8.495378,44.647303,6.536758,4
12,1.570796,1.500000,13,8.495378,44.647303,6.536758,4
13,1.570796,1.500000,14,8.495378,44.647303,6.536758,4
14,1.570796,1.500000,15,8.495378,44.647303,6.536758,4
15,1.570796,1.500000,16,32.899986,208.524978,17.867850,5
16,1.570796,1.500000,17,39.845260,365.848084,17.867850,5
17,1.570796,1.500000,18,48.076002,541.197961,17.867850,5
18,1.570796,1.500000,19,48.076002,541.197961,17.867850,5
19,1.570796,1.500000,20,48.076002,541.197961,22.521923,5
20,1.570796,1.500000,21,48.076002,541.197961,22.521923,5
21,1.570796,1.500000,22,48.076002,541.197961,22.521923,5
22,1.570796,1.500000,23,48.076002,541.197961,22.521923,5
23,1.570796,1.500000,24,48.076002,541.197961,22.521923,5
24,1.570796,1.500000,25,48.076002,541.197961,22.521923,5
25,1.570796,1.500000,26,48.076002,541.197961,22.521923,5
26,1.570796,1.500000,27,48.076002,541.197961,22.521923,5
27,1.570796,1.500000,28,48.076002,541.197961,22.521923,5
28,1.570796,1.500000,29,48.076002,541.197961,22.521923,5
29,1.570796,1.500000,30,121.442922,1552.586309,22.521923,6
30,1.570796,1.500000,31,142.314587,1770.778528,22.521923,6
31,1.570796,1.500000,32,143.221039,1780.037573,22.521923,6
32,1.570796,1.500000,33,143.221039,1780.037573,22.521923,6
33,1.570796,1.500000,34,143.221039,1780.037573,22.521923,6
34,1.570796,1.500000,35,143.221039,1780.037573,22.521923,6
35,1.570796,1.500000,36,148.986852,2072.996550,28.287735,6
36,1.570796,1.500000,37,148.986852,2072.996550,28.287735,6
37,1.570796,1.500000,38,148.986852,2072.996550,28.287735,6
38,1.570796,1.500000,39,148.986852,2072.996550,28.287735,6
39,1.570796,1.500000,40,148.986852,2072.996550,28.287735,6
40,1.570796,1.500000,41,148.986852,2072.996550,28.287735,6
41,1.570796,1.500000,42,152.507749,2111.542158,28.287735,6
42,1.570796,1.500000,43,161.656726,2328.933496,28.287735,6
43,1.570796,1.500000,44,180.818922,3154.825574,36.206389,6
44,1.570796,1.500000,45,180.818922,3154.825574,36.206389,6
45,1.570796,1.500000,46,180.818922,3154.825574,36.206389,6
46,1.570796,1.500000,47,180.818922,3154.825574,36.206389,6
47,1.570796,1.500000,48,180.818922,3154.825574,36.206389,6
48,1.570796,1.500000,49,180.818922,3154.825574,36.206389,6
49,1.570796,1.500000,50,180.818922,3154.825574,36.206389,6
50,1.570796,1.500000,51,185.570348,3227.394229,36.206389,6
51,1.570796,1.500000,52,190.118859,3295.940787,36.206389,6
52,1.570796,1.500000,53,293.070182,4498.126398,36.206389,7
53,1.570796,1.500000,54,300.634820,4675.879901,36.206389,7
54,1.570796,1.500000,55,309.984251,4775.222061,36.206389,7
55,1.570796,1.500000,56,310.944622,4803.862136,36.206389,7
56,1.570796,1.500000,57,310.944622,4803.862136,36.206389,7
57,1.570796,1.500000,58,310.944622,4803.862136,36.206389,7
58,1.570796,1.500000,59,310.944622,4803.862136,36.206389,7
59,1.570796,1.500000,60,321.342239,5369.314051,36.206389,7
60,1.570796,1.500000,61,321.342239,5369.314051,36.206389,7
61,1.570796,1.500000,62,321.342239,5369.314051,36.206389,7
62,1.570796,1.500000,63,321.342239,5369.314051,36.206389,7
63,1.570796,1.500000,64,321.342239,5369.314051,36.206389,7
64,1.570796,1.500000,65,321.342239,5369.314051,36.206389,7
65,1.570796,1.500000,66,325.890750,5479.238508,36.206389,7
66,1.570796,1.500000,67,325.890750,5479.238508,36.206389,7
67,1.570796,1.500000,68,325.890750,5479.238508,36.206389,7
68,1.570796,1.500000,69,325.890750,5479.238508,36.206389,7
69,1.570796,1.500000,70,325.890750,5479.238508,36.206389,7
70,1.570796,1.500000,71,325.890750,5479.238508,36.206389,7
71,1.570796,1.500000,72,325.890750,5479.238508,36.206389,7
72,1.570796,1.500000,73,328.820674,5597.241015,36.206389,7
73,1.570796,1.500000,74,329.745198,5598.095760,36.206389,7
74,1.570796,1.500000,75,329.745198,5598.095760,36.206389,7
75,1.570796,1.500000,76,329.745198,5598.095760,36.206389,7
76,1.570796,1.500000,77,329.745198,5598.095760,36.206389,7
77,1.570796,1.500000,78,334.408418,5708.542740,36.206389,7
78,1.570796,1.500000,79,334.408418,5708.542740,36.206389,7
79,1.570796,1.500000,80,334.408418,5708.542740,36.206389,7
80,1.570796,1.500000,81,334.408418,5708.542740,36.206389,7
81,1.570796,1.500000,82,334.408418,5708.542740,36.206389,7
82,1.570796,1.500000,83,334.408418,5708.542740,36.206389,7
83,1.570796,1.500000,84,334.408418,5708.542740,36.206389,7
84,1.570796,1.500000,85,334.408418,5708.542740,36.206389,7
85,1.570796,1.500000,86,334.408418,5708.542740,36.206389,7
86,1.570796,1.500000,87,426.990861,7327.304283,36.206389,8
87,1.570796,1.500000,88,445.865120,7890.521150,36.206389,8
88,1.570796,1.500000,89,455.159175,8191.796279,36.206389,8
89,1.570796,1.500000,90,489.318815,9207.784088,41.179270,8
90,1.570796,1.500000,91,492.987272,9294.919446,41.179270,8
91,1.570796,1.500000,92,502.663914,9620.364267,41.179270,8
92,1.570796,1.500000,93,524.637456,10449.717147,41.179270,8
93,1.570796,1.500000,94,541.135951,10896.678331,42.175955,8
94,1.570796,1.500000,95,547.785696,10940.897433,42.175955,8
95,1.570796,1.500000,96,559.645363,11021.755511,42.175955,8
96,1.570796,1.500000,97,559.645363,11021.755511,42.175955,8
97,1.570796,1.500000,98,560.636358,11022.737582,42.175955,8
98,1.570796,1.500000,99,577.098099,11564.466479,42.175955,8
99,1.570796,1.500000,100,577.098099,11564.466479,42.175955,8
100,1.570796,1.500000,101,577.098099,11564.466479,42.175955,8
101,1.570796,1.500000,102,579.019207,11568.157133,42.175955,8
102,1.570796,1.500000,103,579.019207,11568.157133,42.175955,8
103,1.570796,1.500000,104,582.391397,11639.616217,42.175955,8
104,1.570796,1.500000,105,582.391397,11639.616217,42.175955,8
105,1.570796,1.500000,106,595.981827,12062.756680,42.175955,8
106,1.570796,1.500000,107,610.041432,12363.062884,42.175955,8
107,1.570796,1.500000,108,621.003517,12439.544582,42.175955,8
108,1.570796,1.500000,109,621.003517,12439.544582,42.175955,8
109,1.570796,1.500000,110,621.003517,12439.544582,42.175955,8
110,1.570796,1.500000,111,645.150358,12972.281526,42.175955,8
111,1.570796,1.500000,112,645.150358,12972.281526,42.175955,8
112,1.570796,1.500000,113,664.053871,13750.330792,42.175955,8
113,1.570796,1.500000,114,664.053871,13750.330792,42.175955,8
114,1.570796,1.500000,115,664.053871,13750.330792,42.175955,8
115,1.570796,1.500000,116,664.053871,13750.330792,42.175955,8
116,1.570796,1.500000,117,664.053871,13750.330792,42.175955,8
117,1.570796,1.500000,118,664.053871,13750.330792,42.175955,8
118,1.570796,1.500000,119,664.053871,13750.330792,42.175955,8
119,1.570796,1.500000,120,664.053871,13750.330792,42.175955,8
120,1.570796,1.500000,121,666.819525,13820.489508,42.175955,8
121,1.570796,1.500000,122,666.819525,13820.489508,42.175955,8
122,1.570796,1.500000,123,672.179934,13849.223492,42.175955,8
123,1.570796,1.500000,124,672.179934,13849.223492,42.175955,8
124,1.570796,1.500000,125,672.179934,13849.223492,42.175955,8
