cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.523599,1.300000,1,0,0,0,0
1,0.523599,1.300000,2,0.000000,0.000000,0.000000,1
2,0.523599,1.300000,3,0.000000,0.000000,0.000000,2
3,0.523599,1.300000,4,0.995181,0.990386,0.995181,3
4,0.523599,1.300000,5,11.344956,108.108221,10.349775,3
5,0.523599,1.300000,6,11.344956,108.108221,10.349775,3
6,0.523599,1.300000,7,33.992805,538.478381,20.699549,4
7,0.523599,1.300000,8,33.992805,538.478381,20.699549,4
8,0.523599,1.300000,9,33.992805,538.478381,20.699549,4
9,0.523599,1.300000,10,33.992805,538.478381,20.699549,4
10,0.523599,1.300000,11,64.502155,1273.098196,31.049324,5
11,0.523599,1.300000,12,74.851930,1380.216031,31.049324,5
12,0.523599,1.300000,13,98.376814,1921.087746,33.874659,5
13,0.523599,1.300000,14,109.397561,2082.175817,33.874659,5
14,0.523599,1.300000,15,109.397561,2082.175817,33.874659,5
15,0.523599,1.300000,16,109.397561,2082.175817,33.874659,5
16,0.523599,1.300000,17,109.397561,2082.175817,33.874659,5
17,0.523599,1.300000,18,168.947657,2719.592130,33.874659,6
18,0.523599,1.300000,19,192.849537,3900.817225,44.224434,6
19,0.523599,1.300000,20,212.123076,4486.522184,44.224434,6
20,0.523599,1.300000,21,246.986369,5811.355640,45.150899,6
21,0.523599,1.300000,22,260.163452,6181.778174,47.978208,6
22,0.523599,1.300000,23,263.912295,6195.831997,47.978208,6
23,0.523599,1.300000,24,275.211699,6339.837308,47.978208,6
24,0.523599,1.300000,25,275.211699,6339.837308,47.978208,6
25,0.523599,1.300000,26,275.211699,6339.837308,47.978208,6
26,0.523599,1.300000,27,275.211699,6339.837308,47.978208,6
27,0.523599,1.300000,28,286.558416,6917.516047,47.978208,6
28,0.523599,1.300000,29,286.558416,6917.516047,47.978208,6
29,0.523599,1.300000,30,286.558416,6917.516047,47.978208,6
30,0.523599,1.300000,31,286.558416,6917.516047,47.978208,6
31,0.523599,1.300000,32,493.871415,12019.730243,58.327982,7
32,0.523599,1.300000,33,527.596638,13799.554594,58.327982,7
33,0.523599,1.300000,34,569.930805,16687.688433,59.309486,7
34,0.523599,1.300000,35,594.002476,17852.111041,62.134342,7
35,0.523599,1.300000,36,625.363028,18990.685276,62.134342,7
36,0.523599,1.300000,37,638.593211,19338.203123,62.134342,7
37,0.523599,1.300000,38,648.942986,19593.199972,62.134342,7
38,0.523599,1.300000,39,669.173467,20529.639087,62.134342,7
39,0.523599,1.300000,40,685.792371,21739.100935,62.134342,7
40,0.523599,1.300000,41,697.114970,21902.403792,62.134342,7
41,0.523599,1.300000,42,707.464744,22009.521627,62.134342,7
42,0.523599,1.300000,43,717.814519,22116.639462,62.134342,7
43,0.523599,1.300000,44,724.520154,22433.169054,62.134342,7
44,0.523599,1.300000,45,724.520154,22433.169054,62.134342,7
45,0.523599,1.300000,46,724.520154,22433.169054,62.134342,7
46,0.523599,1.300000,47,724.520154,22433.169054,62.134342,7
47,0.523599,1.300000,48,724.520154,22433.169054,62.134342,7
48,0.523599,1.300000,49,724.520154,22433.169054,62.134342,7
49,0.523599,1.300000,50,725.470647,22472.587775,62.134342,7
50,0.523599,1.300000,51,725.470647,22472.587775,62.134342,7
51,0.523599,1.300000,52,725.470647,22472.587775,62.134342,7
52,0.523599,1.300000,53,725.470647,22472.587775,62.134342,7
53,0.523599,1.300000,54,736.277092,23058.040521,62.134342,7
54,0.523599,1.300000,55,736.277092,23058.040521,62.134342,7
55,0.523599,1.300000,56,736.277092,23058.040521,62.134342,7
56,0.523599,1.300000,57,1041.097382,28930.577767,62.134342,8
57,0.523599,1.300000,58,1085.245622,33138.216792,72.484117,8
58,0.523599,1.300000,59,1107.853099,34685.605074,72.484117,8
59,0.523599,1.300000,60,1133.241335,35776.736788,72.484117,8
60,0.523599,1.300000,61,1178.447948,38481.419928,72.484117,8
61,0.523599,1.300000,62,1192.423063,39223.236310,72.484117,8
62,0.523599,1.300000,63,1231.771346,41215.251128,72.484117,8
63,0.523599,1.300000,64,1245.862292,41628.041555,72.484117,8
64,0.523599,1.300000,65,1274.056933,42752.867720,72.484117,8
65,0.523599,1.300000,66,1305.558086,44596.107638,72.484117,8
66,0.523599,1.300000,67,1334.679559,46095.365793,72.484117,8
67,0.523599,1.300000,68,1363.023342,47295.589521,72.484117,8
68,0.523599,1.300000,69,1373.373117,47542.445363,72.484117,8
69,0.523599,1.300000,70,1399.449946,49070.612060,72.484117,8
70,0.523599,1.300000,71,1432.007742,50410.912838,72.484117,8
71,0.523599,1.300000,72,1442.357516,50783.168296,72.484117,8
72,0.523599,1.300000,73,1463.513735,51932.985881,72.484117,8
73,0.523599,1.300000,74,1473.863510,52040.103716,72.484117,8
74,0.523599,1.300000,75,1485.193890,52221.008671,72.484117,8
75,0.523599,1.300000,76,1498.357998,53566.659041,72.484117,8
76,0.523599,1.300000,77,1508.358923,54130.461891,72.484117,8
77,0.523599,1.300000,78,1508.358923,54130.461891,72.484117,8
78,0.523599,1.300000,79,1508.358923,54130.461891,72.484117,8
79,0.523599,1.300000,80,1509.347409,54172.229230,72.484117,8
80,0.523599,1.300000,81,1509.347409,54172.229230,72.484117,8
81,0.523599,1.300000,82,1512.201242,54239.446650,72.484117,8
82,0.523599,1.300000,83,1534.931530,55835.666278,72.484117,8
83,0.523599,1.300000,84,1534.931530,55835.666278,72.484117,8
84,0.523599,1.300000,85,1534.931530,55835.666278,72.484117,8
85,0.523599,1.300000,86,1536.887097,55906.859032,72.484117,8
86,0.523599,1.300000,87,1539.835723,56122.908651,72.484117,8
87,0.523599,1.300000,88,1539.835723,56122.908651,72.484117,8
88,0.523599,1.300000,89,1539.835723,56122.908651,72.484117,8
89,0.523599,1.300000,90,1539.835723,56122.908651,72.484117,8
90,0.523599,1.300000,91,1539.835723,56122.908651,72.484117,8
91,0.523599,1.300000,92,1540.806954,56197.886084,72.484117,8
92,0.523599,1.300000,93,1540.806954,56197.886084,72.484117,8
93,0.523599,1.300000,94,1543.491942,56392.636851,72.484117,8
94,0.523599,1.300000,95,1543.491942,56392.636851,72.484117,8
95,0.523599,1.300000,96,1543.491942,56392.636851,72.484117,8
96,0.523599,1.300000,97,1543.491942,56392.636851,72.484117,8
97,0.523599,1.300000,98,2056.075016,70413.576752,82.833891,9
98,0.523599,1.300000,99,2084.285520,73541.891723,82.833891,9
99,0.523599,1.300000,100,2119.329470,76076.900447,82.833891,9
100,0.523599,1.300000,101,2159.263091,78411.011642,82.833891,9
101,0.523599,1.300000,102,2189.848723,81716.331446,82.833891,9
102,0.523599,1.300000,103,2223.939082,83955.474363,82.833891,9
103,0.523599,1.300000,104,2254.966191,86242.911814,82.833891,9
104,0.523599,1.300000,105,2337.506087,91592.238813,82.833891,9
105,0.523599,1.300000,106,2347.855861,91838.160269,82.833891,9
106,0.523599,1.300000,107,2358.664630,91954.989746,82.833891,9
107,0.523599,1.300000,108,2393.112669,95036.158685,82.833891,9
108,0.523599,1.300000,109,2446.364811,98077.195138,82.833891,9
109,0.523599,1.300000,110,2474.003902,100193.032370,82.833891,9
110,0.523599,1.300000,111,2506.274011,101158.687922,82.833891,9
111,0.523599,1.300000,112,2529.970366,102021.588796,82.833891,9
112,0.523599,1.300000,113,2562.452977,104614.621898,82.833891,9
113,0.523599,1.300000,114,2592.288395,105713.027854,82.833891,9
114,0.523599,1.300000,115,2601.197553,106372.293758,82.833891,9
115,0.523599,1.300000,116,2652.075461,110972.966798,83.175995,9
116,0.523599,1.300000,117,2678.902143,112352.935989,83.175995,9
117,0.523599,1.300000,118,2730.608567,115058.785805,83.175995,9
118,0.523599,1.300000,119,2740.304075,115784.630935,83.175995,9
119,0.523599,1.300000,120,2757.976905,116269.846010,83.175995,9
120,0.523599,1.300000,121,2768.326679,116376.963845,83.175995,9
121,0.523599,1.300000,122,2813.204490,118950.293521,83.175995,9
122,0.523599,1.300000,123,2833.963415,120180.524546,83.175995,9
123,0.523599,1.300000,124,2845.297089,120361.588955,83.175995,9
124,0.523599,1.300000,125,2882.977022,121466.154713,83.175995,9
125,0.523599,1.300000,126,2896.163671,121897.381788,83.175995,9
126,0.523599,1.300000,127,2906.513446,122004.499623,83.175995,9
127,0.523599,1.300000,128,2916.863221,122111.617458,83.175995,9
128,0.523599,1.300000,129,2921.691235,122280.316441,83.175995,9
129,0.523599,1.300000,130,2953.429064,124814.178165,83.175995,9
130,0.523599,1.300000,131,2953.429064,124814.178165,83.175995,9
131,0.523599,1.300000,132,2969.901199,126148.895234,83.175995,9
132,0.523599,1.300000,133,2975.484877,126306.558534,83.175995,9
133,0.523599,1.300000,134,2975.484877,126306.558534,83.175995,9
134,0.523599,1.300000,135,2975.484877,126306.558534,83.175995,9
135,0.523599,1.300000,136,2983.281893,127024.550851,83.175995,9
136,0.523599,1.300000,137,2987.692807,127113.397912,83.175995,9
137,0.523599,1.300000,138,2987.692807,127113.397912,83.175995,9
138,0.523599,1.300000,139,2990.590165,127234.161162,83.175995,9
139,0.523599,1.300000,140,2993.410430,127525.174562,83.175995,9
140,0.523599,1.300000,141,2993.410430,127525.174562,83.175995,9
141,0.523599,1.300000,142,2993.410430,127525.174562,83.175995,9
142,0.523599,1.300000,143,2993.410430,127525.174562,83.175995,9
143,0.523599,1.300000,144,3030.235601,130516.677147,83.175995,9
144,0.523599,1.300000,145,3030.235601,130516.677147,83.175995,9
145,0.523599,1.300000,146,3030.235601,130516.677147,83.175995,9
146,0.523599,1.300000,147,3030.235601,130516.677147,83.175995,9
147,0.523599,1.300000,148,3030.235601,130516.677147,83.175995,9
148,0.523599,1.300000,149,3030.235601,130516.677147,83.175995,9
149,0.523599,1.300000,150,3030.235601,130516.677147,83.175995,9
150,0.523599,1.300000,151,3030.235601,130516.677147,83.175995,9
151,0.523599,1.300000,152,3030.235601,130516.677147,83.175995,9
152,0.523599,1.300000,153,3030.235601,130516.677147,83.175995,9
153,0.523599,1.300000,154,3030.235601,130516.677147,83.175995,9
154,0.523599,1.300000,155,3031.226428,130578.310194,83.175995,9
155,0.523599,1.300000,156,3031.226428,130578.310194,83.175995,9
156,0.523599,1.300000,157,3031.226428,130578.310194,83.175995,9
157,0.523599,1.300000,158,3031.226428,130578.310194,83.175995,9
158,0.523599,1.300000,159,3031.226428,130578.310194,83.175995,9
159,0.523599,1.300000,160,3031.226428,130578.310194,83.175995,9
160,0.523599,1.300000,161,3031.226428,130578.310194,83.175995,9
161,0.523599,1.300000,162,3031.226428,130578.310194,83.175995,9
162,0.523599,1.300000,163,3031.226428,130578.310194,83.175995,9
163,0.523599,1.300000,164,3912.314740,160782.194027,96.008228,10
164,0.523599,1.300000,165,4076.804186,178283.244955,97.314608,10
165,0.523599,1.300000,166,4098.599536,179767.790433,97.314608,10
166,0.523599,1.300000,167,4157.339620,184838.311202,97.314608,10
167,0.523599,1.300000,168,4283.717781,197268.233388,108.121052,10
168,0.523599,1.300000,169,4338.723554,202493.034520,108.121052,10
169,0.523599,1.300000,170,4363.415793,203903.208835,108.121052,10
170,0.523599,1.300000,171,4418.825215,207780.881850,108.121052,10
171,0.523599,1.300000,172,4427.843079,208460.766962,108.121052,10
172,0.523599,1.300000,173,4452.201123,209362.610875,108.121052,10
173,0.523599,1.300000,174,4492.992832,211923.281138,108.121052,10
174,0.523599,1.300000,175,4513.694090,212736.144747,108.121052,10
175,0.523599,1.300000,176,4539.057533,214140.870438,108.121052,10
176,0.523599,1.300000,177,4580.494076,216494.036734,108.121052,10
177,0.523599,1.300000,178,4599.470228,217942.468541,108.121052,10
178,0.523599,1.300000,179,4615.403014,218294.992058,108.121052,10
179,0.523599,1.300000,180,4641.740315,219595.212482,108.121052,10
180,0.523599,1.300000,181,4671.191118,220306.342809,108.121052,10
181,0.523599,1.300000,182,4694.701208,221015.125895,108.121052,10
182,0.523599,1.300000,183,4705.050983,221222.181445,108.121052,10
183,0.523599,1.300000,184,4729.040812,224138.808871,108.121052,10
184,0.523599,1.300000,185,4771.012536,226995.445368,108.121052,10
185,0.523599,1.300000,186,4804.517200,229817.698469,108.121052,10
186,0.523599,1.300000,187,4814.866975,230040.395916,108.121052,10
187,0.523599,1.300000,188,4829.985166,230170.251545,108.121052,10
188,0.523599,1.300000,189,4862.679295,231633.167249,108.121052,10
189,0.523599,1.300000,190,4956.445939,239544.831801,108.121052,10
190,0.523599,1.300000,191,4976.427520,240007.794028,108.121052,10
191,0.523599,1.300000,192,4989.597559,240522.987093,108.121052,10
192,0.523599,1.300000,193,5011.918107,241426.394022,108.121052,10
193,0.523599,1.300000,194,5022.267881,241533.511857,108.121052,10
194,0.523599,1.300000,195,5042.434263,242398.903229,108.121052,10
195,0.523599,1.300000,196,5072.864739,246521.165893,108.121052,10
196,0.523599,1.300000,197,5083.379044,246987.799776,108.121052,10
197,0.523599,1.300000,198,5093.728819,247343.654241,108.121052,10
198,0.523599,1.300000,199,5104.078593,247646.972299,108.121052,10
